gene_id,ds1_baseMean,ds1_log2FoldChange,ds1_lfcSE,ds1_pvalue,ds1_padj,ds2_baseMean,ds2_log2FoldChange,ds2_lfcSE,ds2_pvalue,ds2_padj,ds3_baseMean,ds3_log2FoldChange,ds3_lfcSE,ds3_pvalue,ds3_padj,ds4_baseMean,ds4_log2FoldChange,ds4_lfcSE,ds4_pvalue,ds4_padj,ds5_baseMean,ds5_log2FoldChange,ds5_lfcSE,ds5_pvalue,ds5_padj,studies_detected_in
LOC111100506,191.24145109,1.156466,0.35818824,1.308903e-05,0.0002980673,NA,NA,NA,NA,NA,276.72828748,1.3719223838,0.45208261,0.0007437488,0.001687405,NA,NA,NA,NA,NA,55.44643553,1.574861,0.18532436,1.747778e-19,1.404767e-17,3
LOC111103150,3250.90879365,1.023607,0.24575218,8.027446e-07,2.846656e-05,NA,NA,NA,NA,NA,6009.77303428,4.1787700806,0.43676646,1.612279e-23,2.579646e-22,NA,NA,NA,NA,NA,377.20708193,-1.889234,0.24920547,1.394115e-16,7.668504e-15,3
LOC111119286,99.73310097,-1.008261,0.21765226,1.168717e-07,5.620844e-06,NA,NA,NA,NA,NA,104.34756291,-2.1881261072,0.28616557,1.926055e-15,1.601808e-14,NA,NA,NA,NA,NA,125.53185367,1.260258,0.16466974,6.898641e-16,3.43994e-14,3
LOC111123166,179.40573382,-1.349735,0.30460572,9.755099e-08,4.78912e-06,NA,NA,NA,NA,NA,188.83088792,2.2156192795,0.36095046,7.358982e-11,4.047629e-10,NA,NA,NA,NA,NA,92.00553745,1.718357,0.25249142,5.691167e-14,2.192033e-12,3
LOC111123295,138.78993551,-1.090998,0.19651742,8.836217e-10,8.931195e-08,NA,NA,NA,NA,NA,143.68459194,-1.7253137294,0.29105594,5.685578e-10,2.838817e-09,NA,NA,NA,NA,NA,68.03755127,-1.952597,0.20499278,6.355663e-24,9.021966e-22,3
LOC111128702,5870.90519845,1.266255,0.38436752,7.7298e-06,0.0001938803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.51382065,1.395171,0.35641206,6.775133e-09,1.661485e-06,218.76457407,-1.133646,0.30537424,6.210856e-06,5.312123e-05,3
LOC111131151,446.77589432,2.230719,0.38072121,7.784104e-12,1.501299e-09,NA,NA,NA,NA,NA,35.39030104,1.2161582275,0.36298131,0.0003190187,0.0007707641,182.45084908,-1.378358,0.56640856,2.038268e-06,9.080677e-05,NA,NA,NA,NA,NA,3
LOC111132066,4720.28284769,1.315169,0.14500659,1.951333e-21,2.45881e-18,NA,NA,NA,NA,NA,504.72571264,1.3119626015,0.29177703,2.419392e-06,7.94361e-06,NA,NA,NA,NA,NA,984.02428311,1.283647,0.20392615,9.13232e-12,2.609531e-10,3
LOC111134797,42.04499096,1.513739,0.32307336,1.874049e-08,1.172894e-06,NA,NA,NA,NA,NA,138.90482134,2.5597364074,0.29837175,5.603071e-19,6.269825e-18,NA,NA,NA,NA,NA,93.21045237,-1.31634,0.2675617,1.950214e-08,3.003296e-07,3
LOC111135134,113.16577155,-1.343011,0.32809187,4.022021e-07,1.603802e-05,NA,NA,NA,NA,NA,494.59640369,-2.1294121202,0.27362224,7.212875e-16,6.210604e-15,NA,NA,NA,NA,NA,114.35748394,1.339175,0.21453814,1.016102e-11,2.889407e-10,3
