gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099040	536.33779184	-5.2135336743	0.24325954	6.11947e-104	2.429656e-101
LOC111099059	55.88816915	3.4582855072	0.92960525	3.040395e-06	9.85279e-06
LOC111099064	196.88541659	1.821049964	0.64083146	0.0006599842	0.001511759
LOC111099073	105.84498277	-1.0283594259	0.19031802	3.435598e-08	1.41272e-07
LOC111099079	179.31533105	-2.4667988921	0.17414566	1.012478e-46	5.866901e-45
LOC111099093	376.2234291	1.2260096415	0.26638726	1.663746e-06	5.577036e-06
LOC111099102	80.79760019	-1.9233578966	0.23470277	3.4517460000000006e-17	3.373083e-16
LOC111099104	126.44180008	-1.3972395146	0.33617972	9.889712e-06	2.994005e-05
LOC111099122	64.12408081	1.1213928035	0.25447836	4.837749e-06	1.536157e-05
LOC111099130	39.8941579	3.6179864553	0.308069	1.7378970000000002e-33	5.160735e-32
LOC111099140	70.65760122	-1.7084323507	0.30169414	2.826411e-09	1.299834e-08
LOC111099145	108.64809685	2.2251689728	0.23000507	3.47012e-23	5.406932000000001e-22
LOC111099155	109.05399569	-2.6783226706	0.26141318	6.4654e-26	1.201197e-24
LOC111099165	181.91042089	-2.9069083293	0.40067139	1.56735e-14	1.204444e-13
LOC111099172	225.77736013	-1.7548726265	0.4348789	9.384576e-06	2.854786e-05
LOC111099182	220.80444919	-1.5660373848	0.30635044	7.560288e-08	3.002826e-07
LOC111099186	52.37582997	2.6405670371	0.2834324	6.485126e-22	9.220232e-21
LOC111099191	65.87153732	-1.1090433562	0.23735589	1.398268e-06	4.731514e-06
LOC111099194	831.01732409	2.0077088206	0.32655678	9.368748e-11	5.090369e-10
LOC111099203	86.35338843	-2.1644196293	0.35262102	7.923847e-11	4.342722e-10
LOC111099206	155.57999923	1.6923271396	0.32515095	3.766014e-08	1.540316e-07
LOC111099207	161.00523446	-1.5825112795	0.43925453	7.083221e-05	0.0001897829
LOC111099222	54.49418704	-1.1452404547	0.29148174	3.778093e-05	0.000105362
LOC111099246	589.01509015	7.544235964	0.37237473	6.640792e-94	1.873402e-91
LOC111099327	191.80025225	2.1959981776	0.34079813	1.061819e-11	6.299225e-11
LOC111099427	123.47008331	-1.7245082386	0.17889377	1.021974e-22	1.546129e-21
LOC111099458	318.62305606	-3.0516877441	0.3055344	6.16559e-25	1.0799860000000002e-23
LOC111099476	95.28405554	-2.4248501782	0.24365035	1.715264e-24	2.9048380000000005e-23
LOC111099477	301.59943812	-3.3462159011	0.63183847	2.649914e-09	1.222336e-08
LOC111099503	120.6191764	1.7073730036	0.33670542	7.484582e-08	2.976065e-07
LOC111099506	131.66050736	1.9695609255	0.52096239	1.896456e-05	5.516963e-05
LOC111099556	93.40599702	3.021393845	0.19351179	2.268539e-56	2.114673e-54
LOC111099580	221.81595129	-2.1547610465	0.2523137	1.317504e-18	1.429518e-17
LOC111099585	1284.40566746	2.5614002531	0.42050684	6.25999e-11	3.468067e-10
LOC111099589	103.92807388	2.2670276219	0.43554078	1.563668e-08	6.654436e-08
LOC111099592	2067.40926958	-4.9642345845	0.42202608	5.7059119999999995e-34	1.747639e-32
LOC111099603	364.00714289	-1.0524426349	0.3140205	0.0003997196	0.0009496883
LOC111099604	114.7940895	-2.1642762146	0.21361325	3.8959910000000003e-25	6.91474e-24
LOC111099610	1344.65293203	1.2236313357	0.11139038	1.8427190000000002e-28	4.01503e-27
LOC111099614	51.86786101	2.7835954958	0.41147098	5.856845e-13	3.953739e-12
LOC111099617	296.23552397	1.4334983554	0.18065536	6.250144e-16	5.425226e-15
LOC111099631	546.35874654	-3.8789938489	0.29405298	1.90985e-41	8.749399e-40
LOC111099639	45.01338872	1.8671212158	0.35842918	2.785282e-08	1.152827e-07
LOC111099664	61.35922356	1.5467917031	0.28080068	8.880048e-09	3.896607e-08
LOC111099665	112.90867763	4.8306752937	0.33436517	2.821848e-49	1.9643e-47
LOC111099685	61.96092562	-1.0134211387	0.27038972	9.395094e-05	0.0002477014
LOC111099690	314.81748455	2.0494533604	0.23474187	2.8917709999999996e-19	3.2978490000000002e-18
LOC111099735	92.96671848	-1.4113020875	0.2788506	1.260878e-07	4.874364e-07
LOC111099737	118.70201521	1.2967527377	0.27148175	6.40883e-07	2.265172e-06
LOC111099739	51.46613842	2.505852871	0.34406748	2.001853e-14	1.526306e-13
LOC111099746	141.20978858	-2.5589153166	0.21118963	5.185208e-35	1.6844070000000002e-33
LOC111099771	170.22188598	1.1634037313	0.28175707	1.577278e-05	4.632444e-05
LOC111099776	595.13617483	3.5538224038	0.27791447	4.6935990000000006e-39	1.863533e-37
LOC111099792	182.35802617	2.1239693952	0.37937036	2.156427e-09	1.007711e-08
LOC111099796	90.40438265	2.1045333514	0.35663571	3.725696e-10	1.898263e-09
LOC111099802	33.4118063	2.5685527554	0.53514222	8.389509e-08	3.311323e-07
LOC111099826	50.35665218	1.2568348631	0.59215532	0.01176999	0.0209071
LOC111099831	64.22649203	-1.0789264556	0.34599803	0.0008680251	0.001943854
LOC111099846	152.38262107	-1.1682670844	0.20133748	2.851941e-09	1.31045e-08
LOC111099873	72.6356303	1.6882542356	0.3102172	1.029586e-08	4.488476e-08
LOC111099886	65.577102	2.093495933	0.49212054	2.131284e-06	7.038621e-06
LOC111099887	100.43688115	-1.1318827797	0.1855872	4.910282e-10	2.46896e-09
LOC111099973	253.58309503	-3.9057573485	0.39817717	1.846187e-24	3.116712e-23
LOC111099975	29.98466251	-1.0769557033	0.3214227	0.000388096	0.000924531
LOC111100011	165.70857838	-1.2843328537	0.36711734	0.0001678485	0.0004239716
LOC111100040	345.33648082	-2.4724279354	0.35091296	1.174675e-13	8.406222e-13
LOC111100042	62.43808757	-1.090851173	0.25738936	1.080404e-05	3.248787e-05
LOC111100064	54.23259896	-1.0999050782	0.27509402	3.011717e-05	8.534391e-05
LOC111100079	61.42241305	-1.2335739249	0.3474694	0.0001491183	0.0003806066
LOC111100085	2565.97318147	2.6634224567	0.28336531	2.889881e-22	4.214901e-21
LOC111100089	127.55813922	-1.1347442573	0.16223214	1.222882e-12	7.978877e-12
LOC111100090	111.46040908	-1.9936321029	0.30012289	3.77512e-12	2.333869e-11
LOC111100092	938.2088723	1.323003433	0.27982293	7.829288e-07	2.735657e-06
LOC111100100	79.81719327	-1.0810757418	0.2512144	8.175418e-06	2.511189e-05
LOC111100135	237.5866232	-2.5670374267	0.23932628	4.542234000000001e-28	9.642128e-27
LOC111100144	140.58480031	-1.1417749144	0.24033966	9.115241e-07	3.157201e-06
LOC111100176	60.19956492	-1.0111201523	0.32772613	0.001060951	0.002333963
LOC111100178	298.37016398	6.4526145419	0.39873266	2.939333e-61	3.316806e-59
LOC111100191	39.05640135	1.038582104	0.34100239	0.001167134	0.002547165
LOC111100196	184.60598193	1.2421976953	0.35200392	0.0001594861	0.0004045648
LOC111100224	64.21542543	-1.1539859377	0.3168062	0.00011752	0.000305706
LOC111100230	1980.9053695	1.3667196087	0.26126192	5.466541e-08	2.196451e-07
LOC111100239	172.7004865	-1.5369140559	0.403743	3.427455e-05	9.620928e-05
