gene_id,n_analyses,analyses
LOC111102778,3,cross_study_DEG_comparison; final_consensus_genes; final_panel_gene_list
LOC111105635,3,cross_study_DEG_comparison; ds1-5_allDEGs_merged; top_50_predictive_genes_for_classification
LOC111106307,3,cross_study_DEG_comparison; ds1-5_allDEGs_merged; final_consensus_genes
LOC111125640,3,cross_study_DEG_comparison; ds1-5_allDEGs_merged; final_panel_gene_list
LOC111131490,3,cross_study_DEG_comparison; ds1-5_allDEGs_merged; final_consensus_genes
LOC111133512,3,cross_study_DEG_comparison; final_consensus_genes; final_panel_gene_list
LOC111099040,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099064,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099079,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099119,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099155,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099172,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099194,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099206,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099222,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099424,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099458,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099476,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099477,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099503,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099592,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099603,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099614,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099646,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099649,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099681,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099711,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099737,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099746,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099765,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099776,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111099823,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
