Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene1,0.135129375,2.681435153,0.028478733,0.86598823,0.993795637,UNC5C-like protein
gene100,-0.322556433,5.410831137,0.777716998,0.377840274,0.939088885,double-stranded RNA-specific editase 1-like isoform X1
gene1000,0.433433397,4.154569748,0.232885143,0.629392742,0.98077436,ETS translocation variant 1-like
gene10001,0.556545985,3.507535806,0.783026937,0.376216991,0.939088885,mutS protein homolog 4-like isoform X1
gene10003,0.247787793,3.980806812,0.307419835,0.57926781,0.97701797,integrator complex subunit 10-like
gene10005,-0.239549177,3.537389192,0.340055478,0.559797201,0.974759326,GRAM domain-containing protein 1B-like isoform X1
gene10006,-0.054336091,2.330811583,0.005724926,0.939687022,0.995157837,surfeit locus protein 1-like
gene10007,-0.145153365,4.318625623,0.011950155,0.912951249,0.993795637,probable NADH dehydrogenase
gene10009,-0.474183542,2.808110429,0.414332553,0.519778624,0.965262428,LOW QUALITY PROTEIN: GRAM domain-containing protein 1B-like
gene1001,-0.295679654,6.036483006,0.42742754,0.513253922,0.964536301,LOW QUALITY PROTEIN: diacylglycerol kinase beta-like
gene10010,-0.547889005,2.903783669,0.683062658,0.4085341,0.945588216,uncharacterized protein LOC111124199
gene10011,-0.476167386,4.591846235,0.077432364,0.780807626,0.988155915,probable NADH dehydrogenase
gene10012,0.346373353,3.566973877,0.41878771,0.517542574,0.965262428,LOW QUALITY PROTEIN: porphobilinogen deaminase-like
gene10013,1.020966967,2.556151731,1.337881773,0.247407868,0.921352369,cell wall protein DAN4-like
gene10016,2.603047204,3.897461642,12.08666708,0.000507837,0.142841368,lysosomal thioesterase PPT2-A-like
gene10018,-0.669191067,5.072009706,2.188108433,0.139080025,0.864329875,lysosomal thioesterase PPT2-A-like isoform X1
gene1002,-0.375988597,4.980153424,0.885010154,0.346833101,0.932260097,chromatin accessibility complex protein 1-like isoform X1
gene10020,-0.981175806,4.822630267,1.98028598,0.159360283,0.884593411,piRNA biogenesis protein EXD1-like
gene10024,-0.993911805,5.424699236,10.06696185,0.001509517,0.273065415,LOW QUALITY PROTEIN: F-box only protein 38-like
gene10026,-0.694551412,4.822433667,1.696226919,0.192782154,0.898420206,transcriptional protein SWT1-like isoform X1
gene10027,-0.205467425,4.529847889,0.335942493,0.562180708,0.974759326,"endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase-like isoform X1"
gene10028,-0.126503646,7.036380489,0.252894743,0.615044135,0.978656963,eukaryotic translation initiation factor 3 subunit G-like
gene10029,-0.164802213,6.142939122,0.397361197,0.528455201,0.967268978,"LOW QUALITY PROTEIN: alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B-like"
gene10033,-0.477649163,8.125899028,2.169993997,0.140726783,0.864640145,uncharacterized protein LOC111122494
gene10034,-0.410457172,3.368760395,0.631510667,0.426801732,0.951191006,uncharacterize lncRNA
gene10035,0.510901446,8.043651451,1.277630318,0.258340103,0.924331771,"LOW QUALITY PROTEIN: dynein heavy chain 8, axonemal-like"
gene10038,0.002241666,4.11603341,2.73E-06,0.998682244,0.999952937,uncharacterize lncRNA
gene10048,-0.211514226,5.12854626,0.337535467,0.561255264,0.974759326,frizzled-5-like
