LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111099194,uncharacterized protein LOC111099194 isoform X2,XP_022286312.1,3,Yes,1,fam90_vs_fam120,No,0,,No,0,,Yes,1,28d_fed_vs_inj,Yes,1,susceptible_fam242_36h_28d
LOC111099595,uncharacterized protein LOC111099595,XP_022286636.1,3,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100471,baculoviral IAP repeat-containing protein 3-like isoform X3,XP_022288100.1,3,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100633,baculoviral IAP repeat-containing protein 7-like,XP_022288420.1,3,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,36h_fed_vs_inj,No,0,
LOC111100843,uncharacterized protein LOC111100843 isoform X1,XP_022288663.1,3,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111103270,baculoviral IAP repeat-containing protein 3-like isoform X1,XP_022292108.1,3,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,3,28d_fed_vs_inj; 6h_fed_vs_ctrl; 7d_fed_vs_inj,No,0,
LOC111104250,semaphorin-5A-like,XP_022293804.1,3,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,28d_fed_vs_inj,No,0,
LOC111104525,uncharacterized protein LOC111104525,XP_022294234.1,3,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,36h_fed_vs_inj,No,0,
LOC111106038,uncharacterized protein LOC111106038,XP_022296261.1,3,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,7d_fed_vs_inj,No,0,
LOC111106874,uncharacterized protein LOC111106874 isoform X5,XP_022297444.1,3,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,28d_fed_vs_inj,No,0,
