gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099029	11.46589	-0.05535278	0.20908496	0.5903996	0.7467056
LOC111099030	239.9028	-0.06036808	0.25391124	0.5865706	0.7437644
LOC111099033	88.84492	0.02445302	0.13526697	0.7764242	0.8707433
LOC111099034	19.34506	0.6417763	0.23375459	0.0002472186	0.002460021
LOC111099035	47.86249	0.6392265	0.26858218	0.000667598	0.005537266
LOC111099036	76.75701	0.03448114	0.10078573	0.6480178	0.7874391
LOC111099038	434.4147	0.4216417	0.25910315	0.006551571	0.0337828
LOC111099039	4.149748	-0.01394453	0.19359119	0.8872344	0.9368181
LOC111099040	596.3864	-0.1126516	0.10811895	0.1584497	0.3298665
LOC111099041	37.94335	-0.07374699	0.18908092	0.4601927	0.6453489
LOC111099043	36.08391	-0.233764	0.2393004	0.06486936	0.1817247
LOC111099045	164.0958	-0.165522	0.09350581	0.02657431	0.09579546
LOC111099046	11.65789	2.619441	0.46675046	6.662039e-10	3.55604e-08
LOC111099047	229.4513	0.2143663	0.14155782	0.02631952	0.09518035
LOC111099050	157.6571	-0.08728062	0.10457837	0.2620242	0.4565842
LOC111099052	27.15766	-0.05367154	0.40511794	0.6553868	0.7920567
LOC111099053	981.0462	-0.06064544	0.10637477	0.4373268	0.6258531
LOC111099054	15.73046	-0.08757433	0.19434774	0.3901899	0.5832532
LOC111099055	20.12389	-0.5040285	0.39884375	0.01240255	0.05474631
LOC111099056	125.399	1.109058	0.15155221	1.711558e-14	2.52209e-12
LOC111099057	9.696715	-0.523381	0.39630973	0.01041824	0.04786345
LOC111099058	132.6065	-0.09544632	0.13378048	0.2786089	0.4755871
LOC111099060	67.35024	-0.07242399	0.13531741	0.4081502	0.6002697
LOC111099061	13.6949	0.1457925	0.28814937	0.2442529	0.4365227
LOC111099062	125.4751	-0.006709725	0.08176978	0.9190925	0.9558383
LOC111099063	353.9478	0.086282	0.05101457	0.05641786	0.1645377
LOC111099064	419.0313	-0.6848296	0.36275938	0.002083471	0.01372613
LOC111099066	33.65837	0.1068763	0.18218917	0.2886972	0.4858623
LOC111099067	491.7181	0.03275351	0.09154208	0.6459444	0.7859193
LOC111099068	142.3848	-0.02833721	0.0985003	0.7037443	0.8236862
LOC111099069	24.13407	0.2740163	0.36716434	0.08077969	0.2110572
LOC111099070	15.83619	0.08459485	0.18398086	0.3951912	0.5880637
LOC111099071	197.4336	0.05391357	0.08358088	0.4216255	0.6115977
LOC111099072	19.50659	0.1559819	0.32503879	0.2359781	0.4271349
LOC111099073	291.7863	0.1361481	0.0566075	0.00804899	0.03952165
LOC111099077	37.30527	-0.1466281	0.2378171	0.2075884	0.3934961
LOC111099078	5.591567	0.09868716	0.29578147	0.4117078	0.6033082
LOC111099079	420.389	-0.05839488	0.05767013	0.237478	0.4287853
LOC111099080	6.976799	0.02828858	0.16963097	0.7626471	0.8624219
LOC111099081	206.7965	0.01781176	0.0921285	0.8034144	0.8864501
LOC111099082	4.509792	-0.3132974	0.47703428	0.0749909	0.2006991
LOC111099084	7.24109	-0.5089271	0.48559341	0.018554	0.07395706
LOC111099087	49.53664	0.521805	0.49707007	0.01773762	0.07160963
LOC111099088	2235.876	-0.01791459	0.15245298	0.8419021	0.909039
LOC111099090	13237.39	-0.1967059	0.2080419	0.08693013	0.221802
LOC111099092	10.59468	0.6420135	0.41295451	0.004718417	0.02613241
LOC111099093	347.9788	0.2162476	0.14281594	0.02586478	0.09398374
LOC111099094	5.348677	0.02610238	0.15310467	0.7720742	0.8680156
LOC111099095	60.78815	-0.0899589	0.08134962	0.1737165	0.3503117
LOC111099096	22.43392	0.1282444	0.18170838	0.2100252	0.3963968
LOC111099097	108.9244	0.2104373	0.11563544	0.0146331	0.06197536
LOC111099098	15.34188	-0.2392044	0.29710438	0.08723527	0.2222601
LOC111099099	47.37711	-0.2787971	0.17509716	0.01317317	0.0573495
LOC111099101	599.0853	-0.1222744	0.10094095	0.1123565	0.2633121
LOC111099102	132.6859	-0.002119453	0.0937527	0.9766187	0.9880994
LOC111099103	667.9245	0.03764462	0.13722943	0.6647205	0.7980045
LOC111099104	171.5945	-0.1486829	0.13598572	0.1031744	0.2487806
LOC111099105	53.19352	-0.02351817	0.1199778	0.7746131	0.8698003
LOC111099106	35.24321	-0.008062666	0.12262381	0.9223822	0.9576417
LOC111099108	129.8322	0.07418834	0.12366151	0.3790166	0.5730207
LOC111099109	688.244	-0.01651409	0.0618844	0.7548329	0.8573566
LOC111099110	79.4652	0.6530241	0.16656231	5.532186e-06	9.900397e-05
LOC111099111	87.88839	-0.1287648	0.1396294	0.1587752	0.3303424
LOC111099112	142.2625	-0.2260585	0.10884206	0.006896108	0.03510527
LOC111099114	342.2557	-0.002165295	0.0951801	0.9763298	0.9879558
LOC111099115	106.9166	-0.1327613	0.09352283	0.07177848	0.1949295
LOC111099117	7.105336	0.2912312	0.30329416	0.05006242	0.1510498
LOC111099118	116.7369	0.5484175	0.17154116	5.578735e-05	0.0007037691
LOC111099119	147.5456	-0.03848944	0.1609087	0.6761284	0.8053134
LOC111099120	223.0357	-0.102	0.0923718	0.1589991	0.3306622
LOC111099122	98.16469	0.9748493	0.23647963	2.541972e-06	5.151445e-05
LOC111099123	42.52768	0.1297272	0.1191413	0.1254945	0.2823958
LOC111099124	10.34277	-0.368297	0.33585735	0.02743725	0.09805136
LOC111099125	116.9831	-0.02969612	0.07633746	0.6359922	0.7789674
LOC111099127	63.8521	0.1033752	0.14537565	0.2593718	0.4538515
LOC111099129	102.3111	-0.2218003	0.25766631	0.0865873	0.2211217
LOC111099131	19.2019	1.924599	0.77581931	0.0001110818	0.001255676
LOC111099133	23.91766	-1.140564	0.63354478	0.001076526	0.008115101
LOC111099135	201.6493	0.3085129	0.13113436	0.001464667	0.01033249
LOC111099137	20.14624	-0.4612269	0.56002175	0.03148184	0.1086209
LOC111099138	248.7741	0.365302	0.27990065	0.0173051	0.07023195
LOC111099139	195.2122	-0.04133895	0.15503135	0.6495231	0.788462
LOC111099140	189.7968	-0.07980915	0.0891091	0.2566316	0.4507078
LOC111099142	8.856589	-0.3228901	0.32742679	0.0413451	0.1318572
LOC111099143	4809.811	-0.03292002	0.09511855	0.6520894	0.7900303
LOC111099145	32.95264	0.1918702	0.276121	0.1379158	0.3006516
LOC111099146	5.313434	-0.1293509	0.29592246	0.297357	0.4950086
LOC111099147	179.5014	0.1471342	0.15027343	0.1234392	0.2792907
LOC111099149	23.22245	0.1462951	0.21574422	0.190177	0.371333
LOC111099150	133.3116	0.09793762	0.11275647	0.2284173	0.4189238
LOC111099151	236.6141	-0.02788842	0.07710878	0.6591656	0.7943653
LOC111099152	17.46542	-0.5130649	0.20461736	0.0004891721	0.004306176
LOC111099153	42.47755	1.081133	0.18223646	2.205941e-10	1.325622e-08
LOC111099155	300.5236	-0.1552536	0.12820567	0.08080506	0.2110837
LOC111099156	118.7518	0.1033907	0.10285983	0.1817179	0.3603759
LOC111099157	256.886	-0.408211	0.15470272	0.0003588888	0.003335222
LOC111099158	64.2921	0.2185176	0.21123627	0.06383031	0.1795219
LOC111099162	606.8865	0.1689438	0.12704607	0.05792137	0.1674768
LOC111099163	9.11869	0.2450347	0.27939947	0.07396661	0.1987485
LOC111099165	348.477	0.1885832	0.15718765	0.05975111	0.1712574
