gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099046	11.65789	2.619441	0.46675046	6.662039e-10	3.55604e-08
LOC111099056	125.399	1.109058	0.15155221	1.711558e-14	2.52209e-12
LOC111099131	19.2019	1.924599	0.77581931	0.0001110818	0.001255676
LOC111099133	23.91766	-1.140564	0.63354478	0.001076526	0.008115101
LOC111099153	42.47755	1.081133	0.18223646	2.205941e-10	1.325622e-08
LOC111099168	20.78421	-1.138831	0.34943422	3.280297e-05	0.0004498716
LOC111099169	13.65586	2.427031	0.50049832	3.212356e-08	1.125056e-06
LOC111099201	31.04913	-1.055796	0.36496633	0.0001050028	0.001198555
LOC111099202	34.61291	-1.486629	0.35854045	7.230217e-07	1.73119e-05
LOC111099208	6.799844	-1.030959	0.46596607	0.0005442611	0.004708827
LOC111099223	8.276758	1.940171	0.56142266	7.704331e-06	0.0001316675
LOC111099424	108.9355	-1.024553	0.21230838	1.086962e-07	3.356981e-06
LOC111099433	6.58407	-1.760194	0.38041579	6.926183e-08	2.238927e-06
LOC111099463	11.51025	1.575666	0.3163781	1.263606e-08	4.937331e-07
LOC111099480	25.42364	1.373074	0.54177387	0.0001548913	0.00166639
LOC111099486	10.2112	2.231612	0.93273867	0.0001134632	0.001279833
LOC111099495	11.31644	-1.857349	0.89010753	0.0002762274	0.002693533
LOC111099499	3.997805	4.19652	0.70172455	6.062754e-11	4.295562e-09
LOC111099501	9.992214	-6.918755	1.25240827	3.669334e-10	2.072405e-08
LOC111099512	4.885773	1.055046	0.72323178	0.002424341	0.01546431
LOC111099526	8.7676	1.218713	0.33038938	7.010607e-06	0.0001211571
LOC111099535	41.10353	2.158906	0.36587193	1.035973e-10	6.849534e-09
LOC111099554	5.717381	1.696072	0.76629608	0.0002380231	0.002389114
LOC111099555	3.607128	-1.527176	0.35399073	3.31552e-07	8.747605e-06
LOC111099558	11.99228	-2.124599	0.4641714	1.001351e-07	3.116901e-06
LOC111099569	358.1012	-1.379242	0.98669361	0.001721479	0.01176321
LOC111099572	9.630536	-1.844425	0.44712828	6.536081e-07	1.584156e-05
LOC111099575	13.7943	-3.087662	0.7426931	5.869129e-07	1.449131e-05
LOC111099577	38.74453	2.935839	0.48503299	4.843771e-11	3.540553e-09
LOC111099581	6.349945	2.883354	0.53868026	2.605815e-09	1.189794e-07
LOC111099583	36.47757	-6.816664	1.27785126	1.070434e-09	5.441142e-08
LOC111099586	6.674502	-2.119861	0.46663416	1.166001e-07	3.577158e-06
LOC111099595	30.13443	-1.668191	0.90061593	0.0005231322	0.004555904
LOC111099596	12.99375	5.138145	0.70522726	1.067615e-14	1.643119e-12
LOC111099618	6.688264	-4.818949	0.83920075	2.496748e-10	1.471647e-08
LOC111099627	21.02509	1.621791	0.33745589	2.978638e-08	1.051175e-06
LOC111099632	18.37803	-5.886701	1.7368335	2.276632e-06	4.692673e-05
LOC111099635	48.92926	2.735505	0.68205331	1.076726e-06	2.452726e-05
LOC111099646	98.90272	-1.462132	0.24439275	4.828842e-11	3.538979e-09
LOC111099680	102.5941	-1.024395	0.18981318	5.902026e-09	2.48109e-07
LOC111099683	31.84773	-1.191392	0.71953396	0.00133531	0.009618325
LOC111099689	8.017312	2.995619	0.59015485	1.047223e-08	4.156333e-07
LOC111099702	34.22409	-1.064875	0.1837683	5.348629e-10	2.916793e-08
LOC111099706	25.96698	1.504478	0.62238844	0.0001770848	0.001870293
LOC111099707	4.160827	1.13749	0.93895725	0.003361321	0.02006004
LOC111099714	9.381431	-3.387557	1.32804183	4.627665e-05	0.0005981724
LOC111099725	77.50218	1.298671	0.1727986	1.812828e-15	3.325879e-13
LOC111099734	18.21175	-1.329694	0.36707852	7.071956e-06	0.000122065
LOC111099744	9.426264	1.071994	0.61945872	0.001383578	0.009886318
LOC111099759	7.609294	3.792912	0.67325834	4.575778e-10	2.530195e-08
LOC111099765	25.1034	2.524189	0.45658568	1.046056e-09	5.33681e-08
LOC111099800	33.47208	1.068258	0.25376512	1.439527e-06	3.161675e-05
LOC111099802	4.799516	1.109466	0.37679062	8.313659e-05	0.0009821462
LOC111099823	67.43141	1.024747	0.10637549	5.753161000000001e-23	3.9844959999999996e-20
LOC111099827	22.86794	1.108468	0.44088031	0.0002413481	0.002414614
LOC111099829	4.863375	2.089656	0.9883677	0.0002218635	0.002257174
LOC111099834	9.050862	5.38698	0.53297792	2.036949e-25	1.820309e-22
LOC111099844	3.247463	1.369516	0.95463476	0.001626146	0.0112398
LOC111099849	170.2224	2.552168	0.46900256	1.67603e-09	8.033057e-08
LOC111099860	8.737366	-1.057621	0.73727701	0.002528531	0.01601187
LOC111099861	9.239347	-3.552106	0.77539854	9.567878e-08	2.984898e-06
LOC111099868	4.431524	1.748177	0.70324999	0.0001229936	0.00136839
LOC111099876	9.277157	-4.988457	1.0387463	3.088676e-08	1.083109e-06
LOC111099881	19.86418	1.475502	0.27457815	1.70558e-09	8.146496e-08
LOC111099888	9.72157	-1.41674	0.50509646	7.437476e-05	0.0008977795
LOC111099927	62.88471	-1.411474	0.43266634	2.034337e-05	0.0003007323
LOC111099944	19.85183	2.019694	0.45982545	2.177554e-07	6.149314e-06
LOC111099954	34.99307	-1.753544	0.25838915	2.210831e-13	2.662898e-11
LOC111099961	23.95746	-1.650329	0.27733808	4.982258e-11	3.61318e-09
LOC111099962	6.378217	1.364621	0.41859304	2.188603e-05	0.0003201207
LOC111099988	19.04815	6.263665	0.96581882	1.907908e-12	1.950361e-10
LOC111099992	50.72126	1.09694	0.15627886	1.594224e-13	1.998407e-11
LOC111099993	28.12091	-6.176713	0.83248656	3.014977e-15	5.220244e-13
LOC111100004	50.51952	-2.915944	0.42958803	4.289281e-13	4.992687e-11
LOC111100009	3.351822	-1.417914	0.85745173	0.001004586	0.007687007
LOC111100014	8.115231	1.414878	0.31355884	1.587452e-07	4.649894e-06
LOC111100019	9.205599	1.261461	0.47830493	0.0001403491	0.001531016
LOC111100020	9.29517	-4.214132	0.74024105	3.269742e-10	1.883194e-08
LOC111100030	8.806375	-1.292345	1.30035055	0.003776743	0.02200301
LOC111100031	21.75281	1.557479	0.52766034	4.31655e-05	0.0005640631
LOC111100054	10.79654	2.759081	0.98076788	3.47123e-05	0.0004709279
LOC111100056	5.083041	-1.68247	0.45862325	4.016619e-06	7.543892e-05
LOC111100061	76.4743	2.837019	0.68922887	7.179324e-07	1.720491e-05
LOC111100064	16.95546	-1.474556	0.35670264	7.748253e-07	1.836184e-05
