gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099029	16.13683665	2.746685	0.54123598	5.260522e-09	2.446352e-07
LOC111099030	140.4376395	-0.1935637	0.45793386	0.2651838	0.4897331
LOC111099033	65.54769746	0.03633123	0.20060503	0.7377728	0.8679619
LOC111099034	9.93103285	0.1783179	0.28419216	0.2082303	0.4214297
LOC111099035	51.6636972	0.3353055	0.34055602	0.05706887	0.178302
LOC111099036	61.83578417	0.3776624	0.2263083	0.01044942	0.05251706
LOC111099038	82.31379091	-0.5277134	0.31113972	0.0075412	0.04088465
LOC111099040	576.8953848	0.07504596	0.17800749	0.4512972	0.6707113
LOC111099041	64.87052937	0.4459543	0.36314168	0.02483353	0.09879664
LOC111099043	42.44692489	-0.1092551	0.16486883	0.2501722	0.4726668
LOC111099045	104.15028182	-0.09278586	0.13025707	0.2484833	0.4707329
LOC111099047	235.45252212	0.5629283	0.20026957	0.0005115145	0.004877984
LOC111099050	152.47072107	-0.05682921	0.10146121	0.4003592	0.6284129
LOC111099053	503.96540339	-0.04662723	0.15116354	0.5981094	0.7786129
LOC111099054	5.5236241	-0.09420041	0.32092158	0.5132044	0.7186355
LOC111099055	12.73325898	3.414374	0.8699357	1.3982e-06	3.195798e-05
LOC111099056	28.86848136	1.210465	0.37920992	4.742137e-05	0.0006721627
LOC111099058	95.90353982	-0.04858952	0.12536714	0.530779	0.7318829
LOC111099060	23.21489221	-0.1300403	0.22686215	0.2777153	0.5044556
LOC111099062	93.02561149	0.3790513	0.13844336	0.000589253	0.00548927
LOC111099063	197.46634714	0.01272875	0.08378648	0.8306082	0.9177655
LOC111099064	151.69824592	-0.2628202	0.38465939	0.1336814	0.3172562
LOC111099066	9.29764813	0.9022476	0.65855658	0.006106015	0.03472471
LOC111099067	275.95175413	-0.2199645	0.16218829	0.0319111	0.1185306
LOC111099068	123.01912756	-0.1485376	0.13588244	0.08301395	0.2309295
LOC111099070	6.20683457	2.75792	0.6628042	3.985175e-07	1.094516e-05
LOC111099071	92.57690458	-0.06926976	0.11009994	0.3322654	0.5613075
LOC111099072	16.84482606	0.5233815	0.70372427	0.04419487	0.1481093
