gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099029	16.13683665	2.746685	0.54123598	5.260522e-09	2.446352e-07
LOC111099055	12.73325898	3.414374	0.8699357	1.3982e-06	3.195798e-05
LOC111099056	28.86848136	1.210465	0.37920992	4.742137e-05	0.0006721627
LOC111099070	6.20683457	2.75792	0.6628042	3.985175e-07	1.094516e-05
LOC111099092	7.56203782	4.587463	0.87962475	1.506172e-08	6.20134e-07
LOC111099118	34.69784785	1.081733	0.23291311	1.746737e-07	5.398566e-06
LOC111099153	18.89536988	1.024501	0.40076241	0.0003846101	0.003873479
LOC111099178	39.40656147	-2.01957	0.58397327	8.103765e-06	0.0001447455
LOC111099202	33.25486897	-1.431287	0.57925294	0.0002527956	0.002748725
LOC111099228	20.35993083	-1.22815	0.27748711	3.799266e-07	1.049631e-05
LOC111099316	10.35532938	2.401713	0.53977471	1.21726e-07	3.919576e-06
LOC111099417	15.69208183	-1.455907	0.56635839	0.0001919754	0.002197972
LOC111099421	5.95509554	-2.396617	0.76793156	1.804491e-05	0.0002909243
LOC111099429	18.78895752	1.98597	0.80076068	0.000133327	0.001616893
LOC111099432	3.90517159	1.507652	0.9329603	0.00143813	0.01120225
LOC111099436	12.51634265	-2.072251	0.58468917	5.776472e-06	0.0001086638
LOC111099486	7.00660983	5.205426	1.61948792	1.644977e-05	0.00026911
LOC111099501	14.16673846	5.577344	0.94188796	4.697249e-10	2.811725e-08
LOC111099563	29.48175252	-3.690094	0.84978231	3.426835e-07	9.659511e-06
LOC111099575	19.28440079	3.011032	0.71871699	3.842871e-07	1.060423e-05
LOC111099579	50.85693566	-1.418689	0.52302608	0.0001407142	0.001695907
LOC111099583	50.85604778	7.095567	1.6462067	4.394397e-07	1.185979e-05
LOC111099586	5.78696525	-3.093564	1.24384088	8.824992e-05	0.0011376
LOC111099596	12.59491604	4.12301	1.54366902	5.775954e-05	0.0007913125
LOC111099606	739.49142886	-1.009763	0.30925645	5.441727e-05	0.000754125
LOC111099632	8.01863297	2.45877	2.54695749	0.002191007	0.01564191
LOC111099649	41.45060775	2.419697	0.39740338	1.710049e-11	1.344144e-09
LOC111099654	19.50851959	-1.192425	0.5838101	0.0009463005	0.008039078
LOC111099663	10.60148295	5.340061	0.77481147	1.01036e-12	9.746638e-11
LOC111099674	13.43975112	3.422345	0.60438348	3.890663e-10	2.396505e-08
LOC111099675	7.76638685	-1.513538	0.96810551	0.001584694	0.01212543
LOC111099680	80.58148799	-1.764703	0.36102988	2.995183e-08	1.125967e-06
LOC111099683	43.70960485	-7.038164	1.56669428	2.493546e-07	7.331463e-06
LOC111099702	25.5069883	-1.401184	0.27583369	1.35178e-08	5.605205e-07
LOC111099708	30.43597964	2.506184	1.75621816	0.001054609	0.008764631
LOC111099711	35.14589991	-1.388364	0.52596647	0.0001765921	0.002051017
LOC111099714	10.33727636	1.230188	1.41028836	0.008342547	0.04419953
LOC111099722	24.86201482	-1.003727	0.77875146	0.005754671	0.03315469
LOC111099734	11.76532661	-1.804551	0.66087717	8.483929e-05	0.001099634
LOC111099753	33.09385517	1.499145	0.25734951	2.156617e-10	1.402402e-08
LOC111099759	10.73005191	5.459826	0.74970772	6.345115e-14	7.296882e-12
LOC111099765	36.31187359	1.838414	0.41753324	2.608534e-07	7.631107e-06
LOC111099775	454.65136401	-1.03872	0.80048814	0.005304465	0.03113722
LOC111099780	9.75520823	1.277222	0.57590567	0.0005650416	0.005306073
LOC111099800	38.29991758	2.312677	0.55459757	4.371608e-07	1.183935e-05
LOC111099830	8.70386617	-1.186173	0.53157261	0.0006304134	0.005800946
LOC111099832	22.84771195	1.365211	0.43064702	4.124449e-05	0.0005976738
LOC111099849	77.18153204	6.050992	0.57873901	2.7032639999999996e-26	1.9881180000000002e-23
LOC111099861	17.36441692	-5.166873	1.14910864	4.378167e-07	1.184337e-05
LOC111099899	16.04422984	2.683628	0.37908921	1.891259e-14	2.323761e-12
LOC111099902	25.64743043	-1.76081	0.31507843	7.720082e-10	4.385044e-08
LOC111099910	103.96355692	-1.272365	0.78445773	0.00196237	0.01432954
LOC111099913	26.63071243	-5.743405	0.9071545	3.8839e-11	2.878402e-09
LOC111099922	56.98130404	1.473016	0.23666962	1.887258e-11	1.473513e-09
LOC111099940	24.90267294	7.570328	0.99127639	1.520057e-15	2.202868e-13
LOC111099952	57.10523301	2.558486	0.53168519	2.028204e-08	8.011579e-07
LOC111099954	30.1601377	-1.254255	0.57453712	0.0006320647	0.005813849
LOC111099962	11.60385573	1.421168	0.59207732	0.0003029802	0.003195258
LOC111099965	8.08276407	4.015024	0.72678418	1.822851e-09	9.373227e-08
LOC111099967	5.13350412	4.169811	0.94070756	3.544478e-07	9.909681e-06
LOC111099972	72.89539176	-1.123211	0.42371907	0.0002540343	0.002759624
LOC111100005	10.66433451	1.558921	0.32994581	7.534925e-08	2.567924e-06
LOC111100030	6.59413824	3.177334	1.54755293	0.0002314068	0.002545802
