seed,batch,n_test,auroc,aupr,brier,log_loss,cal_slope,cal_intercept
12345,P&S 2020 2015,4,1.0,1.0,9.95569445852087e-08,0.00015798069338771758,1.4080121964210133,-0.05547993230751277
12346,P&S 2020 2015,4,1.0,1.0,1.5211989114581765e-06,0.0006182204740665954,1.6303387839778585,-0.10519860774579515
12347,P&S 2020 2015,4,1.0,1.0,2.0587479238402965e-07,0.00022756641097087767,1.432185601819656,-0.06195674239581327
12348,P&S 2020 2015,4,1.0,1.0,1.0311147280411959e-08,5.1700462885714435e-05,1.1976161981013405,-0.023157342538626478
12349,P&S 2020 2015,4,1.0,1.0,6.50205064835206e-13,6.911159086703637e-07,1.0,0.0
12350,P&S 2020 2015,4,1.0,1.0,8.322357935721112e-12,1.611013510173182e-06,1.0,0.0
12351,P&S 2020 2015,4,1.0,1.0,5.530160507883586e-13,4.0249366087989226e-07,1.0,0.0
12352,P&S 2020 2015,4,1.0,1.0,1.7852586284470503e-10,9.003060015414945e-06,0.9999999999999999,0.0
12353,P&S 2020 2015,4,1.0,1.0,3.90593170949972e-06,0.0009903915300199934,1.8161226706531914,-0.14780651297002173
12354,P&S 2020 2015,4,1.0,1.0,4.0770111025593806e-11,4.545001527655272e-06,1.0,0.0
12355,P&S 2020 2015,4,1.0,1.0,3.3950905471012203e-10,1.1049632420470886e-05,1.0225131017620244,-0.002133285920275693
12356,P&S 2020 2015,4,1.0,1.0,0.009383648618794286,0.05389031845739774,4.209072931701923,-2.288813749461534
12357,P&S 2020 2015,4,1.0,1.0,4.446922034101758e-13,5.209653433887381e-07,1.0,0.0
12358,P&S 2020 2015,4,1.0,1.0,2.101308632416308e-12,7.974775625664137e-07,1.0,0.0
12359,P&S 2020 2015,4,1.0,1.0,5.777862691745085e-10,1.2217363858498095e-05,1.024075504592549,0.0023606768803127675
12360,P&S 2020 2015,4,1.0,1.0,6.377782939013833e-16,1.853193677651112e-08,1.0,0.0
12361,P&S 2020 2015,4,1.0,1.0,4.301615332712477e-11,4.7762617098029875e-06,1.0,0.0
