gene,selection_prob,mean_abs_coef_when_selected
LOC111103066,0.9233333333333333,0.16485643710966827
LOC111133512,0.78,0.17298704277774585
LOC111109496,0.41,0.10700562762356042
LOC111116766,0.24333333333333335,0.08799235557553492
LOC111125640,0.14666666666666667,0.0808363009081208
LOC111102778,0.10333333333333333,0.06724385863886613
LOC111102902,0.09,0.0512590114953167
LOC111103896,0.07,0.07051374942047735
LOC111115212,0.013333333333333334,0.06583044462643191
LOC111117103,0.006666666666666667,0.027373632625853763
LOC111110686,0.006666666666666667,0.005892485850291297
LOC111134033,0.0033333333333333335,0.14516126698251894
LOC111114809,0.0033333333333333335,0.12200648016496034
LOC111131490,0.0033333333333333335,0.06992847405562835
LOC111106307,0.0033333333333333335,0.036341702444164216
LOC111101829,0.0033333333333333335,0.019735711000169905
LOC111100633,0.0,0.0
LOC111101985,0.0,0.0
LOC111119495,0.0,0.0
LOC111123231,0.0,0.0
LOC111103627,0.0,0.0
LOC111132066,0.0,0.0
LOC111130635,0.0,0.0
LOC111106673,0.0,0.0
LOC111135876,0.0,0.0
LOC111105739,0.0,0.0
LOC111106049,0.0,0.0
LOC111114036,0.0,0.0
LOC111133465,0.0,0.0
LOC111112650,0.0,0.0
LOC111136918,0.0,0.0
LOC111105073,0.0,0.0
LOC111100978,0.0,0.0
LOC111128606,0.0,0.0
LOC111124847,0.0,0.0
LOC111103999,0.0,0.0
LOC111134586,0.0,0.0
LOC111135060,0.0,0.0
LOC111133640,0.0,0.0
LOC111108709,0.0,0.0
LOC111137136,0.0,0.0
LOC111111992,0.0,0.0
LOC111100483,0.0,0.0
LOC111107981,0.0,0.0
LOC111107519,0.0,0.0
LOC111122738,0.0,0.0
LOC111133620,0.0,0.0
LOC111109913,0.0,0.0
LOC111114951,0.0,0.0
LOC111102099,0.0,0.0
LOC111117537,0.0,0.0
LOC111116600,0.0,0.0
LOC111101539,0.0,0.0
LOC111129164,0.0,0.0
LOC111099596,0.0,0.0
LOC111136160,0.0,0.0
LOC111126316,0.0,0.0
LOC111112805,0.0,0.0
LOC111129558,0.0,0.0
LOC111122765,0.0,0.0
LOC111099056,0.0,0.0
LOC111106310,0.0,0.0
LOC111103093,0.0,0.0
LOC111106843,0.0,0.0
LOC111125051,0.0,0.0
LOC111114792,0.0,0.0
LOC111135051,0.0,0.0
LOC111136994,0.0,0.0
LOC111105520,0.0,0.0
LOC111133686,0.0,0.0
LOC111117040,0.0,0.0
LOC111104349,0.0,0.0
LOC111137525,0.0,0.0
LOC111114926,0.0,0.0
LOC111113838,0.0,0.0
LOC111114848,0.0,0.0
LOC111099954,0.0,0.0
LOC111111005,0.0,0.0
LOC111134489,0.0,0.0
LOC111104622,0.0,0.0
LOC111111542,0.0,0.0
LOC111126013,0.0,0.0
LOC111111014,0.0,0.0
LOC111124477,0.0,0.0
LOC111100842,0.0,0.0
LOC111106434,0.0,0.0
LOC111127463,0.0,0.0
LOC111134629,0.0,0.0
LOC111102942,0.0,0.0
LOC111130170,0.0,0.0
LOC111130074,0.0,0.0
LOC111125900,0.0,0.0
LOC111131047,0.0,0.0
LOC111117601,0.0,0.0
LOC111099765,0.0,0.0
LOC111136207,0.0,0.0
LOC111132829,0.0,0.0
LOC111116053,0.0,0.0
LOC111119633,0.0,0.0
LOC111123435,0.0,0.0
LOC111113809,0.0,0.0
LOC111123221,0.0,0.0
LOC111104496,0.0,0.0
LOC111100506,0.0,0.0
LOC111101070,0.0,0.0
LOC111124607,0.0,0.0
LOC111125925,0.0,0.0
LOC111100552,0.0,0.0
LOC111130366,0.0,0.0
LOC111100200,0.0,0.0
LOC111110674,0.0,0.0
LOC111136763,0.0,0.0
LOC111114634,0.0,0.0
LOC111127635,0.0,0.0
LOC111124565,0.0,0.0
LOC111109538,0.0,0.0
LOC111126131,0.0,0.0
LOC111099153,0.0,0.0
LOC111117454,0.0,0.0
LOC111126363,0.0,0.0
LOC111106114,0.0,0.0
LOC111128597,0.0,0.0
LOC111124550,0.0,0.0
LOC111116380,0.0,0.0
LOC111122742,0.0,0.0
LOC111109594,0.0,0.0
LOC111121232,0.0,0.0
LOC111123509,0.0,0.0
LOC111110825,0.0,0.0
LOC111109404,0.0,0.0
LOC111136426,0.0,0.0
LOC111109881,0.0,0.0
LOC111113289,0.0,0.0
LOC111137384,0.0,0.0
LOC111120938,0.0,0.0
LOC111122422,0.0,0.0
LOC111119247,0.0,0.0
LOC111129632,0.0,0.0
LOC111128269,0.0,0.0
LOC111102627,0.0,0.0
LOC111135446,0.0,0.0
LOC111128481,0.0,0.0
LOC111137462,0.0,0.0
LOC111110638,0.0,0.0
LOC111103262,0.0,0.0
LOC111133248,0.0,0.0
LOC111125847,0.0,0.0
LOC111127084,0.0,0.0
LOC111104104,0.0,0.0
LOC111116919,0.0,0.0
LOC111106424,0.0,0.0
LOC111125745,0.0,0.0
LOC111137682,0.0,0.0
LOC111124485,0.0,0.0
LOC111117620,0.0,0.0
LOC111134386,0.0,0.0
LOC111122540,0.0,0.0
LOC111133169,0.0,0.0
LOC111130228,0.0,0.0
LOC111137228,0.0,0.0
LOC111120175,0.0,0.0
LOC111127561,0.0,0.0
LOC111110040,0.0,0.0
LOC111135192,0.0,0.0
LOC111125690,0.0,0.0
LOC111112006,0.0,0.0
LOC111104000,0.0,0.0
LOC111121260,0.0,0.0
LOC111103234,0.0,0.0
LOC111135927,0.0,0.0
LOC111130265,0.0,0.0
LOC111123740,0.0,0.0
LOC111105921,0.0,0.0
LOC111101851,0.0,0.0
LOC111123276,0.0,0.0
LOC111136293,0.0,0.0
LOC111126327,0.0,0.0
LOC111135562,0.0,0.0
LOC111136832,0.0,0.0
LOC111112026,0.0,0.0
LOC111133264,0.0,0.0
LOC111136256,0.0,0.0
LOC111123021,0.0,0.0
LOC111124728,0.0,0.0
LOC111123947,0.0,0.0
LOC111122024,0.0,0.0
LOC111112383,0.0,0.0
LOC111122240,0.0,0.0
LOC111101264,0.0,0.0
LOC111124854,0.0,0.0
LOC111110715,0.0,0.0
LOC111123295,0.0,0.0
LOC111134172,0.0,0.0
LOC111128425,0.0,0.0
LOC111109601,0.0,0.0
LOC111119721,0.0,0.0
LOC111114560,0.0,0.0
LOC111128869,0.0,0.0
LOC111138511,0.0,0.0
LOC111122893,0.0,0.0
LOC111102876,0.0,0.0
LOC111128317,0.0,0.0
LOC111133875,0.0,0.0
LOC111105882,0.0,0.0
LOC111138452,0.0,0.0
LOC111122762,0.0,0.0
LOC111136393,0.0,0.0
LOC111111600,0.0,0.0
LOC111101604,0.0,0.0
LOC111124263,0.0,0.0
LOC111136850,0.0,0.0
LOC111110059,0.0,0.0
LOC111123298,0.0,0.0
LOC111127198,0.0,0.0
LOC111124013,0.0,0.0
LOC111124926,0.0,0.0
LOC111124835,0.0,0.0
LOC111099702,0.0,0.0
LOC111121496,0.0,0.0
LOC111122820,0.0,0.0
LOC111100438,0.0,0.0
LOC111109495,0.0,0.0
LOC111114476,0.0,0.0
LOC111125037,0.0,0.0
LOC111119957,0.0,0.0
LOC111135486,0.0,0.0
LOC111116739,0.0,0.0
LOC111122179,0.0,0.0
LOC111128902,0.0,0.0
LOC111122732,0.0,0.0
LOC111100737,0.0,0.0
LOC111119543,0.0,0.0
LOC111104002,0.0,0.0
LOC111102524,0.0,0.0
LOC111110390,0.0,0.0
LOC111138418,0.0,0.0
LOC111101621,0.0,0.0
LOC111122792,0.0,0.0
LOC111123097,0.0,0.0
LOC111137711,0.0,0.0
LOC111103761,0.0,0.0
