gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111100506	82.30477221	1.077229	0.20045699	1.769399e-10	8.795626e-08
LOC111102928	95.08976634	-1.188672	0.24387111	1.028699e-09	3.866402e-07
LOC111107094	35.95977539	1.395155	0.18840811	7.027527000000001e-17	3.609806e-13
LOC111108041	40.70474076	1.305413	0.19921977	4.40246e-14	6.167446e-11
LOC111110124	95.31443048	-1.040464	0.23012051	1.189426e-08	2.640777e-06
LOC111110962	131.5877182	1.083569	0.25627582	2.868442e-08	5.325626e-06
LOC111111132	58.83317603	-1.031384	0.19073458	1.928039e-10	9.284713e-08
LOC111111610	45.90692968	-1.13279	0.15749405	1.573292e-15	3.463491e-12
LOC111112650	37.46549709	-1.115855	0.16117906	1.160647e-14	1.987286e-11
LOC111117760	81.22775571	-1.393334	0.1570781	4.524909000000001e-22	6.972884e-18
LOC111119720	101.29597382	-1.326477	0.2050886	6.723952e-14	8.634675e-11
LOC111122255	60.74796188	-1.387262	0.19684652	9.684976e-16	2.98491e-12
LOC111123540	1357.83966121	-1.0373	0.24467461	3.662619e-08	6.508709e-06
LOC111130260	243.7781407	-1.186966	0.16733904	2.304304e-15	4.438666e-12
LOC111134386	53.98354329	1.212879	0.17852335	1.559765e-14	2.403598e-11
LOC111135301	101.53129375	-1.094288	0.19188909	2.712734e-11	1.548268e-08
LOC111135510	48.33500502	1.042842	0.2298795	1.10184e-08	2.496965e-06
LOC111138260	73.84848544	1.406208	0.23243336	5.665905e-13	4.850644e-10
