gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099030	281.90572624	1.265105	0.5833709	0.001074605	0.002896209
LOC111099101	550.45520389	-1.019898	0.12628832	2.007098e-16	6.798594e-15
LOC111099104	135.77639387	-1.29768	0.18484884	3.113485e-13	5.453937e-12
LOC111099110	104.51984858	1.240731	0.1967298	4.615168e-11	5.507025e-10
LOC111099119	196.61971873	1.272675	0.34016945	2.128498e-05	8.55791e-05
LOC111099138	355.4511014	1.402448	0.34561048	3.821045e-06	1.830712e-05
LOC111099162	809.56623587	1.241616	0.17568251	2.606826e-13	4.639512e-12
LOC111099186	84.61247422	-1.008048	0.22024923	1.350695e-06	7.02711e-06
LOC111099195	10458.81404482	1.159279	0.54117613	0.002364363	0.005859861
LOC111099206	394.38446316	1.348133	0.26727844	4.954804e-08	3.388232e-07
LOC111099215	359.7171916	1.080414	0.15694712	1.479429e-12	2.310965e-11
LOC111099419	42.6034127	-1.484216	0.25813776	6.625444e-10	6.448379e-09
LOC111099468	279.20607265	1.212548	0.2645453	7.315014e-07	4.030935e-06
LOC111099504	704.1864306	1.015553	0.32038581	0.0003745294	0.001129925
LOC111099506	221.48719652	1.081923	0.33385976	0.0002405707	0.0007567588
LOC111099519	166.005516	-1.830554	0.18592685	2.153637e-24	4.240198e-22
LOC111099598	43.48028035	-1.131509	0.23365272	2.655289e-07	1.601392e-06
LOC111099603	397.48303092	-1.38566	0.15348983	1.996487e-20	1.479827e-18
LOC111099613	89.31908228	-2.6529	0.41907791	4.614767e-15	1.166092e-13
LOC111099614	115.12708281	1.079122	0.30408365	8.302051e-05	0.0002918844
LOC111099615	118.1097678	1.116734	0.33545857	0.0001596036	0.0005244556
LOC111099692	209.85576221	-1.753513	0.18559505	1.317062e-22	1.517914e-20
LOC111099735	68.39052892	-1.908087	0.23526157	1.0257850000000001e-17	4.551257e-16
LOC111099746	115.27905325	-1.098595	0.18084312	2.956711e-10	3.062181e-09
LOC111099787	120.29297045	1.418552	0.32579468	1.035001e-06	5.526144e-06
LOC111099826	182.53307289	1.172178	0.25234951	6.178061e-07	3.451715e-06
LOC111099831	452.46174308	1.205711	0.2116391	2.133742e-09	1.902352e-08
LOC111099842	45.97443377	1.313315	0.31845141	4.037605e-06	1.924225e-05
LOC111099845	923.78942362	1.68066	0.3647042	1.153073e-07	7.369859e-07
LOC111099865	134.83397506	-1.368519	0.44112741	0.0001173865	0.000397478
LOC111099866	347.84508163	1.354483	0.23858823	1.533384e-09	1.393389e-08
LOC111099872	185.96284292	1.132483	0.21789061	4.255064e-08	2.960158e-07
LOC111099910	365.80189296	1.090163	0.360845	0.000469445	0.001382515
LOC111099916	106.69096373	1.167086	0.35186639	0.0001398438	0.0004659243
LOC111099928	205.3542954	1.120722	0.1697339	9.17804e-12	1.242651e-10
LOC111099932	88.73254732	-1.791691	0.24542851	8.448198e-15	2.000995e-13
LOC111099958	25.59927312	1.531988	0.24638001	3.312896e-11	4.052883e-10
LOC111099975	35.05434206	-1.509634	0.25090257	1.239798e-10	1.363995e-09
LOC111099976	310.60334847	1.700575	0.36602706	8.886026e-08	5.813595e-07
LOC111100027	112.69635323	1.401784	0.3393558	2.845689e-06	1.393429e-05
LOC111100028	76.13459825	1.447107	0.34864228	2.20087e-06	1.102243e-05
LOC111100038	80.98745413	1.507659	0.40187965	7.876666e-06	3.497225e-05
LOC111100040	1648.97720887	1.153313	0.31063375	3.56577e-05	0.0001365686
LOC111100092	1617.66877136	-2.091786	0.29073922	4.644898e-15	1.170576e-13
LOC111100101	201.27000216	-1.043683	0.19263473	1.626928e-08	1.227078e-07
LOC111100128	38.06906467	1.289358	0.3063348	3.064462e-06	1.491282e-05
LOC111100148	251.62655001	-1.196987	0.17061783	4.27554e-13	7.2935e-12
LOC111100191	39.67114579	-1.765996	0.25507709	1.373491e-13	2.570861e-12
LOC111100192	109.03844857	-2.250671	0.22559206	8.273044e-26	2.4056740000000002e-23
LOC111100224	69.86995715	-2.224295	0.26109539	6.71967e-20	4.472129e-18
LOC111100234	47.47495089	-1.455032	0.31454592	2.658258e-07	1.602671e-06
LOC111100284	112.93696821	1.934473	0.46480277	1.619394e-07	1.008506e-06
LOC111100289	137.86433812	1.115822	0.42672375	0.00129297	0.003418451
LOC111100293	252.80013506	1.179247	0.34178513	8.504477e-05	0.0002980588
LOC111100294	105.57538468	1.137294	0.38737634	0.0005087682	0.001489272
LOC111100303	56.54237428	-1.114983	0.26335533	4.782098e-06	2.237288e-05
LOC111100311	274.82387387	-1.100904	0.17891219	1.800316e-10	1.938905e-09
LOC111100346	37.04181777	-1.014486	0.28205655	8.420849e-05	0.0002954566
LOC111100348	344.59614365	1.438973	0.19985917	5.606962e-14	1.140766e-12
LOC111100352	768.70498225	1.312911	0.12909714	3.826729e-25	9.155569000000001e-23
LOC111100373	29.75101738	-1.042601	0.17086548	2.889047e-10	3.001972e-09
LOC111100378	192.0428436	-1.235916	0.20797964	4.549296e-10	4.578607e-09
LOC111100393	314.46288972	-1.216264	0.17599958	8.522595e-13	1.381523e-11
LOC111100398	229.62976715	-1.865096	0.19562762	3.985577e-23	5.342652e-21
LOC111100399	403.57767319	-1.189609	0.19863041	3.910774e-10	3.974062e-09
LOC111100402	380.3895408	-1.564099	0.17875754	1.433455e-19	9.122470000000001e-18
LOC111100408	194.42110946	-1.928859	0.23654807	6.604992e-18	3.015482e-16
LOC111100439	111.18980815	1.083818	0.40547141	0.001274271	0.003374665
LOC111100442	164.0879431	1.331178	0.26000634	3.533754e-08	2.501333e-07
LOC111100466	70.83154778	-1.928078	0.2800465	9.293958e-14	1.801693e-12
LOC111100479	160.31833432	1.272015	0.29573223	2.178915e-06	1.092519e-05
LOC111100500	28.15423365	-1.016419	0.19399021	4.63133e-08	3.195939e-07
LOC111100512	2519.48426206	1.107465	0.29713831	3.902423e-05	0.0001485569
LOC111100513	539.53851459	1.452624	0.28299973	2.206405e-08	1.627127e-07
LOC111100514	203.92847394	1.24493	0.31624336	1.099499e-05	4.720951e-05
LOC111100542	67.38007608	-1.804588	0.18017986	4.299801e-25	1.00334e-22
LOC111100566	153.3321634	-1.371064	0.14121048	3.2961130000000005e-23	4.684198e-21
LOC111100575	74.04481704	-2.223768	0.2594318	4.316213e-20	2.999292e-18
LOC111100582	2908.51827344	-1.029224	0.15664538	1.443146e-11	1.886369e-10
LOC111100603	42.9156939	-2.255262	0.260934	1.876019e-20	1.401527e-18
LOC111100611	36.31875282	1.327704	0.25314309	1.845734e-08	1.378902e-07
LOC111100613	1755.79633017	1.543834	0.28088496	2.282297e-09	2.026195e-08
LOC111100616	282.97628426	1.190247	0.16940278	4.039985e-13	6.941797e-12
LOC111100617	53.83405642	1.245838	0.45172637	0.00051206	0.001496937
LOC111100618	48.10042658	1.303675	0.44437645	0.0002513531	0.0007876036
LOC111100622	160.03566957	-1.552265	0.18176674	9.28557e-19	5.101935000000001e-17
LOC111100629	202.20071006	-1.098508	0.25278272	3.058921e-06	1.488969e-05
LOC111100655	78.85863644	1.137979	0.33017219	9.913361e-05	0.0003414221
LOC111100673	54.97994427	1.374092	0.37806939	2.129559e-05	8.560357e-05
LOC111100708	5194.04658035	1.349592	0.19560676	6.278577e-13	1.040977e-11
LOC111100714	460.1389744	-1.517596	0.20167359	3.90903e-15	1.007949e-13
LOC111100720	95.55348926	-1.504169	0.20643698	2.437265e-14	5.31335e-13
LOC111100725	39.12617936	-1.200858	0.2499716	2.625348e-07	1.585864e-06
LOC111100791	127.09055759	-1.151437	0.15628049	3.690668e-14	7.750812e-13
LOC111100792	142.86412706	-1.792583	0.18706682	3.196083e-23	4.611387e-21
LOC111100799	84.82301841	-1.141127	0.30678001	3.611917e-05	0.000138224
LOC111100847	85.99802328	1.432948	0.39513599	1.706766e-05	7.035897e-05
LOC111100851	69.56480808	-1.214847	0.22903786	1.892691e-08	1.410637e-07
LOC111100858	110.6599742	-1.215453	0.36930398	0.0001275576	0.0004282355
LOC111100866	81.84968475	-1.798225	0.18098992	9.799323000000001e-25	2.134944e-22
LOC111100870	113.36533946	-1.771404	0.2564983	1.517938e-13	2.826654e-12
LOC111100875	88.94780999	-1.138527	0.18681087	2.350306e-10	2.487298e-09
LOC111100897	105.02651994	-1.615996	0.20313691	9.942627000000001e-17	3.600107e-15
LOC111100904	126.09547317	-1.073528	0.20746141	5.648223e-08	3.823677e-07
LOC111100913	41.46283852	1.13813	0.34608288	0.0001699625	0.0005547255
LOC111100957	142.99141717	-1.327342	0.12197538	1.92272e-28	9.821978999999999e-26
LOC111100973	100.90349329	1.02394	0.16827333	3.36381e-10	3.442305e-09
LOC111100975	33.45566947	-1.421056	0.25752718	3.064699e-09	2.66571e-08
LOC111101008	183.48012945	1.424467	0.47459288	0.0001138244	0.000386594
LOC111101016	370.06201206	1.040362	0.27337083	3.509265e-05	0.0001345681
LOC111101032	42.88713105	-2.123378	0.22081233	6.042208e-24	1.047972e-21
LOC111101046	37.59040135	-1.909045	0.24371826	9.397706000000001e-17	3.422467e-15
LOC111101055	45.56575401	-1.505793	0.33130462	3.183252e-07	1.886102e-06
LOC111101069	137.73952154	-1.385564	0.14747644	6.54391e-22	6.442002999999999e-20
LOC111101095	263.46056273	-1.240799	0.20745718	3.549087e-10	3.6221e-09
LOC111101116	165.47400526	1.166551	0.15972224	5.715204e-14	1.156564e-12
LOC111101129	429.02901954	1.357979	0.13592544	2.08982e-24	4.157862e-22
LOC111101137	133.17424236	-1.142624	0.21947937	3.950615e-08	2.766601e-07
LOC111101154	152.68390686	-1.441685	0.39551608	1.539875e-05	6.410833e-05
LOC111101167	145.20246577	-1.795746	0.22684078	7.464501e-17	2.766403e-15
