gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	source_file
LOC111099206	87.39211432	-1.049662	0.40197631	0.0001469485	0.013963234	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111099206	87.4556201	-1.095134	0.26190732	3.937408e-06	0.000440711	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111099448	13.23471973	-1.491651	0.66882506	4.266998e-05	0.002645539	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111099448	11.11168813	-1.046298	0.89931173	0.0003353862	0.0220523748	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111099780	21.6520411	-1.798616	0.41596461	5.027901e-07	0.0014580848	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111099780	21.74611625	-1.626879	0.38478404	3.930857e-07	9.653879e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100294	89.1927609	-1.306948	0.81902235	0.0001851814	0.0154681306	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100294	68.69756714	-1.307348	0.640915	0.0001312877	0.005941465	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100589	465.75248719	-1.088078	0.38832714	0.0001014214	0.010892178	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100589	488.89316926	-1.141693	0.25951019	1.587808e-06	0.0002434254	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100735	37.10691242	-1.355068	1.03052048	5.423731e-05	0.003083117	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100735	54.85527729	-1.511554	0.97690789	1.623032e-05	0.0045132234	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100813	131.18510737	-1.215519	0.29268566	3.215335e-06	0.0003883775	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111100813	131.25165401	-1.067273	0.42875434	0.0001774885	0.0152201441	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111101086	122.86776309	-1.531918	0.30636191	2.354203e-08	2.205626e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
