gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099093	326.47200512	-1.05748	0.24407995	2.456699e-06	0.0003236701
LOC111099206	87.4556201	-1.095134	0.26190732	3.937408e-06	0.000440711
LOC111099214	17.07639112	-1.211903	0.34177635	1.945903e-05	0.00146064
LOC111099448	13.23471973	-1.491651	0.66882506	4.266998e-05	0.002645539
LOC111099721	29.3792132	-1.006209	0.42293086	0.0003185361	0.01105307
LOC111099733	6.7309218	-1.10564	0.57728927	0.0004008806	0.01300087
LOC111099776	223.04119186	-1.117072	0.50545786	0.0002890671	0.01042473
LOC111099780	21.74611625	-1.626879	0.38478404	3.930857e-07	9.653879e-05
LOC111100031	14.70795387	-1.150418	0.56609658	0.0002998566	0.01063839
LOC111100158	6.91840326	-1.379991	0.65239594	8.46928e-05	0.004323955
LOC111100260	35.32952686	-1.034294	0.35107044	0.0001089144	0.005149718
LOC111100294	68.69756714	-1.307348	0.640915	0.0001312877	0.005941465
LOC111100444	54.59374748	-1.059313	0.31908268	4.734372e-05	0.002837931
LOC111100589	488.89316926	-1.141693	0.25951019	1.587808e-06	0.0002434254
LOC111100735	37.10691242	-1.355068	1.03052048	5.423731e-05	0.003083117
LOC111100813	131.18510737	-1.215519	0.29268566	3.215335e-06	0.0003883775
LOC111100938	7.97260974	-1.608523	0.45217127	3.422985e-06	0.0003994307
LOC111101056	38.91955254	-1.082737	0.27643813	9.521728e-06	0.0008652727
LOC111101086	122.86776309	-1.531918	0.30636191	2.354203e-08	2.205626e-05
LOC111101094	19.6069864	-1.068492	0.66374638	0.0005137602	0.0152895
LOC111101168	354.31035664	-1.081049	0.23948604	1.157511e-06	0.0001965128
LOC111101175	60.27592442	-1.621983	0.51501947	7.475797e-06	0.0007233082
LOC111101405	24.89551207	-1.174116	0.6819325	0.0002824394	0.01022116
LOC111101698	11.18052852	1.185741	0.49128788	0.0001731446	0.007275523
LOC111101704	11.02526453	-1.02412	0.7760516	0.0004497761	0.01411605
LOC111101734	6.38492679	-1.295712	0.65081771	0.0001416648	0.006264954
LOC111101737	391.73856277	-1.316867	0.2879644	4.48508e-07	0.0001031405
LOC111101773	135.96351997	-1.160333	0.3321385	2.542229e-05	0.001781391
LOC111101808	233.70283327	-1.240434	0.24137734	4.131687e-08	2.903199e-05
LOC111102125	272.79284789	-1.111355	0.24847072	1.278619e-06	0.0002113983
LOC111102606	6.47349892	1.565375	0.93411003	2.741045e-05	0.001869763
LOC111102688	177.54301645	-1.069532	0.24608076	2.281974e-06	0.0003132078
LOC111103106	15.62652552	-1.292174	0.614688	0.0001399226	0.006223252
LOC111103132	26.82332737	-1.080688	0.71200859	0.0004387471	0.01387742
LOC111103149	25.25303963	-1.552922	0.50502278	1.24276e-05	0.001062569
LOC111103166	32.06956261	-1.268884	0.44018156	6.331056e-05	0.00348153
LOC111103275	532.03518287	-1.151765	0.46767429	0.0001834598	0.007533767
LOC111103305	245.00241125	-1.284059	0.28512343	6.777925e-07	0.0001356364
LOC111103338	122.3271312	-1.448382	0.32206009	3.521992e-07	9.265743e-05
LOC111103375	342.00883784	-1.065384	0.30902903	3.47751e-05	0.002255567
LOC111103395	185.17852525	-1.13427	0.30421898	1.474761e-05	0.001207299
LOC111103412	221.31857628	-1.079835	0.32536757	4.569479e-05	0.002770714
LOC111103519	90.97899537	-1.04424	0.38613897	0.0001681121	0.007111312
LOC111103555	61.32074583	-1.335865	0.29761675	5.937573e-07	0.000125164
LOC111103594	170.73232696	-1.058959	0.30519792	3.332543e-05	0.002178295
LOC111103614	417.29592411	-1.204436	0.29042095	3.387937e-06	0.0003986105
LOC111103618	212.46519568	-1.021524	0.30836535	5.112331e-05	0.002979759
LOC111103784	101.08182184	-1.513638	0.33918534	2.944043e-07	8.031213e-05
LOC111103803	337.94422436	-1.183682	0.29132816	4.76795e-06	0.0005176398
LOC111103873	153.51787378	-1.08097	0.23313042	6.940039e-07	0.0001369846
LOC111103907	104.96863662	-1.054177	0.2713032	1.098351e-05	0.0009647184
LOC111104013	16.53474776	-1.016343	0.64100071	0.0006928513	0.01872475
LOC111104056	168.38276799	-1.519614	0.32298107	1.006802e-07	4.322674e-05
LOC111104060	143.05023304	-1.362679	0.29196694	2.481823e-07	7.473833e-05
LOC111104078	30.79672473	1.460234	0.72386228	5.317495e-05	0.003043243
LOC111104103	34.29904797	-1.013807	0.42457283	0.000308448	0.01085492
LOC111104143	518.27524798	-1.17154	0.40123791	8.23446e-05	0.00426842
LOC111104165	57.739806	-1.4486	0.28149291	1.718193e-08	1.868903e-05
LOC111104328	31.34550768	-1.073763	0.34416253	7.110809e-05	0.003763076
LOC111104343	13.63592382	-1.001777	0.69019166	0.0006927323	0.01872475
LOC111104371	45.66877056	-1.447762	0.29724358	6.695747e-08	3.763902e-05
LOC111104499	67.52999716	-1.317297	0.62265598	0.0001210947	0.005600021
LOC111104586	86.72097906	1.007861	0.20731365	2.952652e-07	8.031213e-05
LOC111104625	39.33853686	-1.535027	0.47005428	9.655869e-06	0.0008692344
LOC111104857	185.98334218	-2.163038	1.73546144	5.867622e-06	0.0006083089
LOC111105049	3.65796342	-1.3136	0.70226592	0.0001257452	0.005762409
LOC111105338	35.4151148	-1.330851	0.69823591	0.0001141884	0.005319538
LOC111105366	140.44558471	-1.38391	0.28445002	9.159773e-08	4.16799e-05
LOC111105453	13.89334829	-1.295266	0.49478307	8.478343e-05	0.004323955
LOC111105679	756.71586199	-1.054765	0.82185873	0.0003158178	0.0109889
LOC111105826	432.98686449	-2.08009	0.44183556	2.223675e-09	7.03126e-06
LOC111105850	99.38192035	-1.355151	0.3117545	9.684944e-07	0.0001725284
LOC111105865	33.17772523	-1.47459	0.41378202	6.763712e-06	0.0006789479
LOC111106130	189.68102212	-1.493176	0.32784	2.224959e-07	7.309425e-05
LOC111106274	56.12165844	-1.398106	0.52363731	4.926562e-05	0.002925407
LOC111106484	48.14177081	-1.144991	0.66440305	0.0003379771	0.01155333
LOC111106646	109.00728059	-1.197551	0.41754545	8.327296e-05	0.004307715
LOC111106911	74.81764794	-2.07381	0.92385761	2.347043e-06	0.0003158021
LOC111106912	22.28422508	-2.806882	1.21945851	2.532909e-07	7.482546e-05
LOC111107117	380.53392726	-1.164211	0.30184393	9.531112e-06	0.0008652727
LOC111107208	237.26791492	-1.290401	0.31338284	2.851473e-06	0.0003606543
LOC111107543	239.32630969	-1.498986	0.28807893	1.003158e-08	1.335573e-05
LOC111107750	97.62042631	1.234729	0.34290029	1.583839e-05	0.001271898
LOC111107827	153.77899978	-1.148342	0.26870644	2.51147e-06	0.000327475
LOC111107928	6.34004337	-1.384679	0.82125856	7.179156e-05	0.003791314
LOC111108058	65.99839127	-1.076513	0.47628884	0.0003125102	0.0109038
LOC111108228	109.15297431	-1.052368	0.26317237	7.789589e-06	0.0007463843
LOC111108234	116.7799353	-1.205327	0.31499535	9.341593e-06	0.0008592906
LOC111108345	1349.46038224	1.328544	0.37876932	1.448405e-05	0.001193448
LOC111108589	141.68240827	-1.097547	0.27410722	7.060499e-06	0.0006990177
LOC111108615	84.27668709	-1.076435	0.31502353	3.665898e-05	0.002341731
LOC111108652	248.24831062	-1.036201	0.33837538	8.592439e-05	0.004365806
LOC111109471	189.68846906	-1.007933	0.30469307	5.265372e-05	0.00302711
LOC111109540	85.2113671	-1.375395	0.64055779	8.612181e-05	0.004365806
LOC111109553	252.81261675	-1.071247	0.26289498	5.907063e-06	0.0006098983
LOC111109784	50.43914372	-1.246767	0.67432361	0.0001885488	0.007668056
LOC111110008	121.01371558	-1.192802	0.27355844	1.610028e-06	0.0002435259
LOC111110093	146.26391359	-1.099545	0.46447814	0.0002500166	0.009286959
LOC111110111	33.06407374	-1.127759	0.38833692	9.58001e-05	0.004701199
LOC111110144	5.19736091	-1.559011	0.88202024	2.910452e-05	0.001950347
LOC111110309	895.56579227	-1.066459	0.90382545	0.0002046253	0.008075199
LOC111110446	601.92383548	1.014186	0.82592112	0.0003611756	0.01203728
LOC111110512	8.36384636	-1.331408	1.1116813	5.112187e-05	0.002979759
LOC111110683	79.87111688	-1.605852	0.33255719	3.558253e-08	2.673547e-05
LOC111110857	24.63800999	-1.025742	0.67355455	0.0006348625	0.01776491
LOC111110905	18.21675765	-1.334211	0.80059116	9.589732e-05	0.004701199
LOC111110920	481.56340536	-1.298356	0.28206906	4.228621e-07	9.904371e-05
LOC111111091	98.58364511	-1.735393	0.3465176	6.819168e-09	1.078111e-05
LOC111111239	9.51226678	-1.165465	0.5835349	0.0002858938	0.01033139
LOC111111254	128.74002231	1.477722	0.36528453	1.663788e-06	0.0002475717
LOC111111272	5.3831097	-1.409565	0.40727466	1.161984e-05	0.001010087
LOC111111305	552.01315678	1.249342	0.27686988	7.36502e-07	0.0001411406
LOC111111627	37.08689411	-1.170614	0.64801114	0.0002948556	0.01054161
LOC111111816	62.4939668	-1.44545	0.57490643	4.578426e-05	0.002770714
LOC111112113	312.05356015	-1.003457	0.27049599	1.943526e-05	0.00146064
LOC111112295	187.19822618	-1.281937	0.31282777	3.140706e-06	0.0003856665
LOC111112418	25.62985531	-1.971451	0.33945231	1.805462e-11	4.567097e-07
LOC111112580	234.03828394	-1.089564	0.30223385	2.24818e-05	0.001634195
LOC111112620	375.71687382	-1.097593	0.29986928	1.915696e-05	0.001455238
LOC111112623	298.73979863	-1.066296	0.30050155	2.709666e-05	0.001862601
LOC111112848	70.27767599	-1.317293	0.28882497	4.715213e-07	0.0001055995
