gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111099206	87.39211432	-1.049662	0.40197631	0.0001469485	0.013963234
LOC111099448	11.11168813	-1.046298	0.89931173	0.0003353862	0.0220523748
LOC111099780	21.6520411	-1.798616	0.41596461	5.027901e-07	0.0014580848
LOC111100294	89.1927609	-1.306948	0.81902235	0.0001851814	0.0154681306
LOC111100589	465.75248719	-1.088078	0.38832714	0.0001014214	0.010892178
LOC111100735	54.85527729	-1.511554	0.97690789	1.623032e-05	0.0045132234
LOC111100813	131.25165401	-1.067273	0.42875434	0.0001774885	0.0152201441
LOC111101086	119.89082171	-1.494464	0.38686749	5.336419e-06	0.0029432763
LOC111101175	39.36696584	-1.017783	0.72549643	0.0007696408	0.0354086409
LOC111101737	398.72948388	-1.246683	0.41287542	5.564633e-05	0.0081887339
LOC111101808	225.83977272	-1.206969	0.31845809	1.12595e-05	0.0042170644
LOC111102125	286.34941769	-1.007611	0.37377501	0.0001307691	0.0129922221
LOC111102518	8547.92786632	1.227884	0.54250281	0.000188379	0.0156195313
LOC111102925	24.37638685	-1.021203	0.70292417	0.0007568556	0.0349782038
LOC111103106	18.67748081	-1.011822	0.83395874	0.0006061502	0.0303529933
LOC111103149	24.87441408	-1.543127	0.69013775	6.269611e-05	0.0086747562
LOC111103305	267.96675125	-1.290473	0.38719053	2.837868e-05	0.0058717835
LOC111103338	113.25668546	-1.427731	0.43006273	2.199045e-05	0.005112892
LOC111103375	365.69828709	-1.054162	0.45473271	0.0002387885	0.0181327899
LOC111103395	207.40052899	-1.05128	0.46994634	0.0002729869	0.01946255
LOC111103555	73.0987442	-1.237559	0.43509274	7.669844e-05	0.0096566469
LOC111103594	174.84887125	-1.064387	0.41165275	0.0001513399	0.0142111975
LOC111103614	420.80865738	-1.218419	0.3990992	5.478418e-05	0.0081377044
LOC111103779	13.20513451	-1.117304	0.68359216	0.0004927518	0.0271834126
LOC111103784	105.98971456	-1.548385	0.45337953	1.328057e-05	0.0042760696
LOC111103803	326.69065664	-1.232417	0.40684764	5.597532e-05	0.0081887339
LOC111103873	165.44187179	-1.024529	0.34409948	7.703521e-05	0.0096566469
LOC111104056	209.8872651	-1.38579	0.44749895	3.677495e-05	0.0065177369
LOC111104060	191.40050129	-1.313547	0.39253637	2.649611e-05	0.0057458339
LOC111104078	38.07367027	1.214357	0.88547398	0.0002016569	0.0164186568
LOC111104119	14.15908966	1.119977	0.30863755	1.844755e-05	0.0046690827
LOC111104143	511.00489365	-1.104473	0.58707458	0.0004099148	0.0245872569
LOC111104165	55.14686929	-1.420766	0.3595525	4.951246e-06	0.0029432763
LOC111104371	46.6626266	-1.370892	0.35585649	7.254316e-06	0.0035039037
LOC111104625	30.69489968	-1.198681	0.73919327	0.000351757	0.0222643841
LOC111105338	45.27729993	-1.4135	0.84923189	9.60815e-05	0.0106914742
LOC111105366	138.55164459	-1.361176	0.37350654	1.254317e-05	0.0042170644
LOC111105444	11.22172311	1.234046	0.72276888	0.0003003995	0.0204680036
LOC111105453	12.33295305	-1.211151	0.54228089	0.0002038867	0.0165404932
LOC111105826	412.67600526	-2.044548	0.49012198	3.162985e-07	0.001426696
LOC111105850	95.99916546	-1.26914	0.46420041	8.665097e-05	0.0101282477
LOC111106130	176.44412485	-1.349275	0.46344237	5.484552e-05	0.0081377044
LOC111106202	14.83192784	-1.289373	0.86566149	0.0001633834	0.0147387083
LOC111106484	32.70747347	-1.001451	0.84620253	0.0005873869	0.0298103865
LOC111106911	47.87045459	-1.521365	0.95494585	2.099782e-05	0.0050379143
LOC111106912	26.56613265	-1.821687	0.93399837	2.842966e-06	0.0025145119
LOC111107208	210.12284304	-1.134068	0.5018109	0.000230729	0.0180056428
LOC111107543	233.89760542	-1.480812	0.36489702	3.132378e-06	0.0026164639
LOC111107827	156.12703877	-1.126043	0.37747047	7.027044e-05	0.0091362508
LOC111107873	267.15888099	-1.031912	0.60398633	0.000600361	0.0302906974
LOC111108234	111.74834564	-1.168108	0.45251477	0.0001327324	0.0131294441
LOC111108589	153.91405735	-1.135494	0.39153269	8.084687e-05	0.0096986145
LOC111109553	245.64498003	-1.069226	0.37621342	9.604987e-05	0.0106914742
LOC111110008	121.45596212	-1.098781	0.40590089	0.0001184073	0.0121383635
LOC111110093	115.97121111	-1.165525	0.60959045	0.0003370174	0.0220952105
LOC111110683	69.36476123	-1.502171	0.43336373	1.355803e-05	0.0042760696
LOC111110905	25.64986635	-1.49097	0.89675598	4.634008e-05	0.0073084466
LOC111110920	481.88483522	-1.245394	0.39535107	4.381437e-05	0.0070081241
LOC111111091	90.73652064	-1.693098	0.41450467	1.594185e-06	0.0021118719
LOC111111254	112.68197607	1.698171	0.41865237	1.712522e-06	0.0021118719
LOC111111305	656.61114366	1.167378	0.39795741	7.317003e-05	0.0093231848
LOC111111627	28.41579998	-1.0384	0.82832336	0.0005648037	0.0292827984
LOC111111816	42.72648046	-1.624909	0.64280576	3.595643e-05	0.0065177369
LOC111112295	186.43453836	-1.220768	0.44792599	9.623417e-05	0.0106914742
LOC111112418	24.34890921	-1.856941	0.40668957	1.613808e-07	0.0009099055
LOC111112580	217.68588517	-1.156	0.40548003	8.596852e-05	0.0101282477
LOC111112764	303.26761088	1.058776	0.6075654	0.0005395401	0.028416498
LOC111112848	65.12009101	-1.10419	0.44606699	0.0001732689	0.0151229204
LOC111113324	45.38020566	-1.376019	0.45343558	4.192697e-05	0.006802727
LOC111113346	66.8651105	-1.083172	0.43527078	0.0001743431	0.0151229204
LOC111114607	82.30329181	-1.455571	0.4940557	3.972822e-05	0.0066864959
