Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,hypnospores_g_1_oyster_wet_tissue,infection,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue
SRR10995873,18 month,RNA-Seq,assembly,88,275010944,PRJNA604121,SAMN13955516,Invertebrate,Eastern Oyster,95031008,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656996,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","1,402.52",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL23,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:48:00Z,1,GL23,SRP246310,Gill
SRR10995874,18 month,RNA-Seq,assembly,89,288019137,PRJNA604121,SAMN13955515,Invertebrate,Eastern Oyster,94913472,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656995,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",285.02,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL12,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_9,2020-01-31T20:47:00Z,1,GL12,SRP246310,Gill
SRR10995875,18 month,RNA-Seq,assembly,91,299822428,PRJNA604121,SAMN13955514,Invertebrate,Eastern Oyster,89679217,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656994,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",119.43,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL16,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_8,2020-01-31T20:47:00Z,1,GL16,SRP246310,Gill
SRR10995876,18 month,RNA-Seq,assembly,92,238652956,PRJNA604121,SAMN13955513,Invertebrate,Eastern Oyster,77181815,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656993,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",95.92,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_7,2020-01-31T20:48:00Z,1,GL2,SRP246310,Gill
SRR10995877,18 month,RNA-Seq,assembly,90,313025318,PRJNA604121,SAMN13955512,Invertebrate,Eastern Oyster,101145846,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656992,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",101.56,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL9,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_6,2020-01-31T20:48:00Z,1,GL9,SRP246310,Gill
SRR10995878,18 month,RNA-Seq,assembly,92,284773921,PRJNA604121,SAMN13955511,Invertebrate,Eastern Oyster,86007566,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656991,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",50.83,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL13,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_5,2020-01-31T20:48:00Z,1,GL13,SRP246310,Gill
SRR10995879,18 month,RNA-Seq,assembly,89,349980816,PRJNA604121,SAMN13955546,Invertebrate,Eastern Oyster,112331094,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656990,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","3,049,972.09",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV13,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_5,2020-01-31T20:49:00Z,1,GV13,SRP246310,Gill
SRR10995880,18 month,RNA-Seq,assembly,96,399104604,PRJNA604121,SAMN13955545,Invertebrate,Eastern Oyster,107887183,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656989,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","237,885.92",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV16,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:47:00Z,1,GV16,SRP246310,Gill
SRR10995881,18 month,RNA-Seq,assembly,87,416981505,PRJNA604121,SAMN13955544,Invertebrate,Eastern Oyster,141025383,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656988,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","275,789.02",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV2,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:49:00Z,1,GV2,SRP246310,Gill
SRR10995882,18 month,RNA-Seq,assembly,89,362706301,PRJNA604121,SAMN13955543,Invertebrate,Eastern Oyster,118534232,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656987,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","185,854.57",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV9,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:48:00Z,1,GV9,SRP246310,Gill
SRR10995883,18 month,RNA-Seq,assembly,95,364000507,PRJNA604121,SAMN13955542,Invertebrate,Eastern Oyster,107053729,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656986,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","123,168.43",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV17,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:47:00Z,1,GV17,SRP246310,Gill
SRR10995884,18 month,RNA-Seq,assembly,91,320241634,PRJNA604121,SAMN13955541,Invertebrate,Eastern Oyster,102232368,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656985,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","38,527.53",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV4,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:48:00Z,1,GV4,SRP246310,Gill
SRR10995885,18 month,RNA-Seq,assembly,91,279945444,PRJNA604121,SAMN13955540,Invertebrate,Eastern Oyster,87570097,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656984,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","47,316.58",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV11,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:47:00Z,1,GV11,SRP246310,Gill
