Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,identified_by,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,temp,tissue
SRR8856650,RNA-Seq,200,2711303439,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2089849089,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644339,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os16,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:49:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856651,RNA-Seq,200,2259553666,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1736833285,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644338,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os15,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:28:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856652,RNA-Seq,200,3558348930,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2765370887,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644337,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os18,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T16:11:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856653,RNA-Seq,200,2620634231,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2022707636,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644336,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os17,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:37:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856654,RNA-Seq,200,2098584486,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1420115390,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644335,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os34,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:54:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856655,RNA-Seq,200,2231862836,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1521257743,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644334,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os33,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:54:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856656,RNA-Seq,200,2707768872,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1852692074,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644333,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os32,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:59:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856657,RNA-Seq,200,2099580665,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1436569114,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644332,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os31,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:55:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856658,RNA-Seq,200,2795201062,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1892812436,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644331,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os36,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:56:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856659,RNA-Seq,200,2702933716,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1839464017,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644330,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os35,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:56:00Z,1,RACcg,SRP190910,26 to 34,gills
