Run,AGE,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR13430566,1 year,RNA-Seq,250,1959849250,2017,PRJNA691949,SAMN17309748,Invertebrate,ABC_VIMS_Family_2014_286,804478942,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845543,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC30,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:08:00Z,1,DC30,SRP301630,mantle,Injected
SRR13430567,1 year,RNA-Seq,250,1804223250,2017,PRJNA691949,SAMN17309747,Invertebrate,ABC_VIMS_Family_2014_286,697274140,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845542,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC27,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:08:00Z,1,DC27,SRP301630,mantle,Injected
SRR13430568,1 year,RNA-Seq,250,2152401750,2017,PRJNA691949,SAMN17309746,Invertebrate,ABC_VIMS_Family_2014_286,872661673,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845541,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC24,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:02:00Z,1,DC24,SRP301630,mantle,Injected
SRR13430569,1 year,RNA-Seq,250,1983018000,2017,PRJNA691949,SAMN17309745,Invertebrate,ABC_VIMS_Family_2014_286,775066713,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845540,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC23,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:09:00Z,1,DC23,SRP301630,mantle,Injected
SRR13430570,1 year,RNA-Seq,250,2270688500,2017,PRJNA691949,SAMN17309744,Invertebrate,ABC_VIMS_Family_2014_286,878212029,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845539,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC176,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:09:00Z,1,DC176,SRP301630,mantle,Control
SRR13430575,1 year,RNA-Seq,250,2257736250,2017,PRJNA691949,SAMN17309743,Invertebrate,ABC_VIMS_Family_2014_286,911167992,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845534,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC174,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:08:00Z,1,DC174,SRP301630,mantle,Control
SRR13430586,1 year,RNA-Seq,250,1967838500,2017,PRJNA691949,SAMN17309742,Invertebrate,ABC_VIMS_Family_2014_286,770722647,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845523,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC172,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:12:00Z,1,DC172,SRP301630,mantle,Control
SRR13430597,1 year,RNA-Seq,250,1884428250,2017,PRJNA691949,SAMN17309741,Invertebrate,ABC_VIMS_Family_2014_286,790237905,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845512,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC164,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:13:00Z,1,DC164,SRP301630,mantle,Control
SRR13430598,1 year,RNA-Seq,250,1693024250,2017,PRJNA691949,SAMN17309758,Invertebrate,ABC_VIMS_Family_2014_286,643058664,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845511,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC69,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 5,2021-01-13T19:13:00Z,1,DC69,SRP301630,mantle,Injected
SRR13430599,1 year,RNA-Seq,250,2183092250,2017,PRJNA691949,SAMN17309757,Invertebrate,ABC_VIMS_Family_2014_286,864929634,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845510,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC64,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:14:00Z,1,DC64,SRP301630,mantle,Injected
