Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment,collection_time,Trait
SRR16844792,RNA-Seq,49,800082486,PRJNA778545,SAMN22314554,Invertebrate,475598041,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037871,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 0 h,Perkinsus marinus injection,S795,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:49:00Z,1,V_0h,SRP344953,gill,Control,0,sensitive
SRR16844793,RNA-Seq,49,813337623,PRJNA778545,SAMN22314555,Invertebrate,482199597,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037870,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,FSW injection for 24 h,FSW injection,S794,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,VC_24h,SRP344953,gill,Control,24,sensitive
SRR16844794,RNA-Seq,49,835844009,PRJNA778545,SAMN22314556,Invertebrate,495012501,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037869,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,FSW injection for 3d,FSW injection,S793,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,VC_3d,SRP344953,gill,Control,3,sensitive
SRR16844795,RNA-Seq,49,823882472,PRJNA778545,SAMN22314560,Invertebrate,488130080,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037868,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 24 h,Perkinsus marinus injection,S792,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,VD_24h,SRP344953,gill,Injection,24,sensitive
SRR16844796,RNA-Seq,49,603060297,PRJNA778545,SAMN22314561,Invertebrate,363524020,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037867,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 3d,Perkinsus marinus injection,S791,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,VD_3d,SRP344953,gill,Injection,3,sensitive
SRR16844797,RNA-Seq,49,727065038,PRJNA778545,SAMN22314562,Invertebrate,442179831,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037866,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 0 h,Dermo challenge,S790,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,G_0h,SRP344953,gill,Control,0,tolerant
SRR16844798,RNA-Seq,49,835655310,PRJNA778545,SAMN22314569,Invertebrate,501630821,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037865,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,FSW injection for 24 h,FSW injection,S789,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,GC_24h,SRP344953,gill,Control,24,tolerant
SRR16844799,RNA-Seq,49,762686813,PRJNA778545,SAMN22314570,Invertebrate,462692344,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037864,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,FSW injection for 3d,FSW injection,S788,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,GC_3d,SRP344953,gill,Control,3,tolerant
SRR16844800,RNA-Seq,49,748383027,PRJNA778545,SAMN22314571,Invertebrate,452103368,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037863,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 24 h,Perkinsus marinus injection,S787,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:49:00Z,1,GD_24h,SRP344953,gill,Injection,24,tolerant
SRR16844801,RNA-Seq,49,842957976,PRJNA778545,SAMN22314578,Invertebrate,511741482,"INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES",NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13037862,uncalculated,uncalculated,NA,Illumina NovaSeq 6000,dermo challenge for 3d,Perkinsus marinus injection,S786,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2021-11-07T00:00:00Z,2021-11-07T22:46:00Z,1,GD_3d,SRP344953,gill,Injection,3,tolerant
