sample,fastq_1,fastq_2,treatment,batch,condition
SRX9845503,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845503_SRR13430606_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845503_SRR13430606_2.fastq.gz,Injected,Study4_2017,study4_unknown
SRX9845505,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845505_SRR13430604_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845505_SRR13430604_2.fastq.gz,Injected,Study4_2017,study4_unknown
SRX9845508,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845508_SRR13430601_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845508_SRR13430601_2.fastq.gz,Injected,Study4_2017,study4_unknown
SRX9845511,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845511_SRR13430598_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845511_SRR13430598_2.fastq.gz,Injected,Study4_2017,study4_unknown
SRX9845512,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845512_SRR13430597_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845512_SRR13430597_2.fastq.gz,Control,Study4_2017,study4_unknown
SRX9845523,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845523_SRR13430586_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845523_SRR13430586_2.fastq.gz,Control,Study4_2017,study4_unknown
SRX9845528,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845528_SRR13430581_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845528_SRR13430581_2.fastq.gz,Control,Study4_2015,study4_unknown
SRX9845529,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845529_SRR13430580_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845529_SRR13430580_2.fastq.gz,Control,Study4_2015,study4_unknown
SRX9845530,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845530_SRR13430579_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845530_SRR13430579_2.fastq.gz,Control,Study4_2015,study4_unknown
SRX9845541,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845541_SRR13430568_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX9845541_SRR13430568_2.fastq.gz,Injected,Study4_2017,study4_unknown
SRX7172518,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172518_SRR10482877_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172518_SRR10482877_2.fastq.gz,Control,Study5_2017,susceptible
SRX7172519,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172519_SRR10482876_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172519_SRR10482876_2.fastq.gz,Control,Study5_2017,susceptible
SRX7172522,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172522_SRR10482873_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172522_SRR10482873_2.fastq.gz,Injected,Study5_2017,susceptible
SRX7172525,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172525_SRR10482870_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172525_SRR10482870_2.fastq.gz,Injected,Study5_2015,susceptible
SRX7172527,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172527_SRR10482868_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172527_SRR10482868_2.fastq.gz,Injected,Study5_2015,susceptible
SRX7172529,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172529_SRR10482866_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172529_SRR10482866_2.fastq.gz,Injected,Study5_2015,susceptible
SRX7172535,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172535_SRR10482860_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172535_SRR10482860_2.fastq.gz,Control,Study5_2015,susceptible
SRX7172536,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172536_SRR10482859_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172536_SRR10482859_2.fastq.gz,Control,Study5_2015,susceptible
SRX7172539,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172539_SRR10482856_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172539_SRR10482856_2.fastq.gz,Control,Study5_2015,resistant
SRX7172545,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172545_SRR10482850_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172545_SRR10482850_2.fastq.gz,Control,Study5_2017,resistant
