sample,fastq_1,fastq_2,condition,treatment,batch,Collection_Interval_Days,TRSS
SRX7172518,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172518_SRR10482877_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172518_SRR10482877_2.fastq.gz,sensitive,Control,2017.0,26.0,susceptible
SRX7172519,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172519_SRR10482876_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172519_SRR10482876_2.fastq.gz,sensitive,Control,2017.0,26.0,susceptible
SRX7172522,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172522_SRR10482873_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172522_SRR10482873_2.fastq.gz,sensitive,Injected,2017.0,26.0,susceptible
SRX7172525,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172525_SRR10482870_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172525_SRR10482870_2.fastq.gz,sensitive,Injected,2015.0,26.0,susceptible
SRX7172527,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172527_SRR10482868_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172527_SRR10482868_2.fastq.gz,sensitive,Injected,2015.0,26.0,susceptible
SRX7172529,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172529_SRR10482866_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172529_SRR10482866_2.fastq.gz,sensitive,Injected,2015.0,26.0,susceptible
SRX7172535,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172535_SRR10482860_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172535_SRR10482860_2.fastq.gz,sensitive,Control,2015.0,26.0,susceptible
SRX7172536,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172536_SRR10482859_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172536_SRR10482859_2.fastq.gz,sensitive,Control,2015.0,26.0,susceptible
SRX7172539,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172539_SRR10482856_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172539_SRR10482856_2.fastq.gz,tolerant,Control,2015.0,26.0,resistant
SRX7172545,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172545_SRR10482850_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172545_SRR10482850_2.fastq.gz,tolerant,Control,2017.0,26.0,resistant
