sample,fastq_1,fastq_2,strandedness
SRX5644304,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644304_SRR8856685_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644304_SRR8856685_2.fastq.gz,auto
SRX5644305,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644305_SRR8856684_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644305_SRR8856684_2.fastq.gz,auto
SRX5644306,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644306_SRR8856683_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644306_SRR8856683_2.fastq.gz,auto
SRX5644307,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644307_SRR8856682_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644307_SRR8856682_2.fastq.gz,auto
SRX5644308,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644308_SRR8856681_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644308_SRR8856681_2.fastq.gz,auto
SRX5644309,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644309_SRR8856680_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644309_SRR8856680_2.fastq.gz,auto
SRX5644310,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644310_SRR8856679_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644310_SRR8856679_2.fastq.gz,auto
SRX5644311,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644311_SRR8856678_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644311_SRR8856678_2.fastq.gz,auto
SRX5644312,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644312_SRR8856677_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644312_SRR8856677_2.fastq.gz,auto
SRX5644313,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644313_SRR8856676_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644313_SRR8856676_2.fastq.gz,auto
SRX5644314,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644314_SRR8856675_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX5644314_SRR8856675_2.fastq.gz,auto
