gene_id	SRX18040005	SRX18040006	SRX18040007	SRX18040008	SRX18040009	SRX18040011	SRX18040012	SRX18040013	SRX18040014	SRX18040016	SRX18040017	SRX18040018	SRX18040020	SRX18040021	SRX18040022	SRX18040024	SRX18040025	SRX18040026	SRX18040027	SRX18040028	SRX18040029	SRX18040030	SRX18040032	SRX18040033	SRX18040034	SRX18040035	SRX18040036	SRX18040037	SRX18040038	SRX18040039	SRX18040040	SRX18040041	SRX18040043	SRX18040044	SRX18040045	SRX18040046	SRX18040047	SRX18040048	SRX18040050	SRX18040052	SRX18040054	SRX18040055	SRX18040056	SRX18040058	SRX18040059	SRX18040060	SRX18040061	SRX18040062	SRX18040064	SRX18040004	SRX18040010	SRX18040015	SRX18040019	SRX18040023	SRX18040031	SRX18040042	SRX18040049	SRX18040051	SRX18040053	SRX18040057	SRX18040063
LOC111100284	5.68926048	5.52199353	6.92980067	4.44236935	6.03315698	5.51297979	4.43531014	5.33947144	7.84211212	7.85245029	3.85324326	5.64014761	7.18425941	6.44076277	6.00645193	9.43133824	6.44943031	4.65882557	7.78175122	7.27408501	1.32667308	8.98796466	5.0150224	3.59710541	6.84847597	8.4893598	4.94458092	6.56048542	8.14448554	7.10900893	7.23378237	6.01657843	5.0996442	4.96320132	5.39343373	7.88022171	5.68533658	4.24722622	5.13626948	8.16806715	7.14468268	7.65607343	7.11914123	6.90403765	8.76028829	8.05695913	1.32667308	9.20914755	5.4083086	5.11870479	3.36831296	4.08789879	4.94909557	3.226612	3.55200713	2.62152826	1.32667308	5.37339649	6.49310739	4.46471138	4.44339612
LOC111100913	6.66815825	5.99650437	4.81682721	6.04195892	6.07309025	5.81821209	5.27324999	3.34706661	4.49931579	4.9246255	6.44634097	6.80811076	5.79770642	4.48862097	4.02189889	4.14820495	6.82870497	6.33281719	6.57411075	4.14989739	5.16431925	4.82582095	6.88352745	5.75932671	6.59922245	5.1763123	5.34293096	5.4434981	4.43337195	3.57921432	6.55789467	5.9166761	5.67752102	3.21490549	4.01447873	4.10443515	6.0093825	6.07501745	5.53115276	4.06642338	4.60059701	7.17826049	7.18392825	4.1911424	4.8878411	4.17545598	5.43074266	4.56355471	6.17136044	5.6735107	4.41248423	3.44447628	5.10384773	2.11700246	4.49946085	3.72010972	4.54981995	3.31499603	3.99760887	2.38330802	5.73922023
LOC111101240	9.3117745	8.46436092	4.68613636	8.52899236	8.15425986	7.97641423	9.03443829	6.45543352	6.13916839	6.54584597	9.26533688	8.84266408	8.14960883	6.96036695	5.85356774	4.42105907	7.26097685	7.30276135	7.66428043	5.64320968	7.19362647	6.14550825	9.19811382	7.92317436	7.60013052	5.96822104	7.50766483	6.24027758	5.93506503	4.384275	8.40418321	7.72680119	7.77867342	6.93101048	6.05392465	5.14692491	7.98489876	7.88807832	8.03032687	5.13420576	5.76318932	8.43514341	7.93078236	6.81001669	4.99762143	5.4208419	6.14768363	4.75219109	8.06712017	5.72113928	7.92101938	4.71535831	5.91993979	4.70028731	6.53763971	6.29224591	4.37815206	3.4875395	3.81013824	4.49541079	6.54395577
LOC111101800	4.8148056	5.57715163	7.67962636	8.82801645	7.613707	6.91743232	8.13122912	2.55352954	5.07182629	7.69706322	8.75741688	9.00784711	5.89568927	2.63669136	5.94723433	5.5205086	7.28377946	9.12292349	6.43748042	4.88403856	3.43582071	6.37312307	7.35704465	8.15172333	6.66345098	4.51553924	7.04922439	7.09130568	6.13339097	6.26808247	5.63000948	7.64083346	8.16452419	7.02535994	5.15370695	5.081235	7.66450803	7.59406437	6.0504047	5.68163911	6.39676675	8.00161958	7.59197002	7.67506371	6.56771622	4.17545598	2.74823816	4.42215121	6.44058487	5.0074725	5.94817217	5.79212937	5.56917729	5.88096301	6.74697217	4.22646033	4.09577605	5.25770933	4.87755007	2.19562955	6.08535864
LOC111102291	9.50961855	7.32490704	9.00778657	7.72787557	7.60693047	7.61493429	7.97376961	9.09828367	9.9121259	10.59670046	6.00329114	9.36730319	7.06316549	8.05672286	9.10573781	11.06537996	8.61094062	8.30172166	6.25974282	8.76173659	8.62078711	10.33884991	8.65252749	7.2458508	5.73931647	8.90600951	7.53950046	9.85637072	10.79014756	8.02208985	8.56806534	8.96411846	8.09960639	8.81954717	8.48152649	8.27307051	5.8883835	7.59967631	7.23296654	8.81426922	10.10990324	8.75291077	7.4470083	10.37691945	9.64288893	10.86534438	8.56122971	10.38302227	9.00546828	7.37183816	4.80099259	9.09017386	5.48742745	3.8697433	7.28758936	4.59663967	8.56411652	8.66914026	8.9946889	8.54697118	6.60241169
LOC111103371	6.35169112	5.06172698	5.21376154	6.29764775	5.40917697	5.03253583	5.07972891	5.70263182	7.01260441	7.37689978	4.5133883	5.51019641	5.00599556	9.01256629	6.40872028	4.396049	5.87412845	4.41095425	5.06630212	7.16130711	11.11169765	7.1511558	4.71012602	4.24041785	4.81292057	4.51553924	4.69397257	6.06078121	5.98726849	5.89805326	4.59465192	4.72246574	3.52126466	6.42172357	7.12450292	5.11445774	4.13696204	4.12563336	3.30679901	7.89580995	4.60059701	3.77107502	3.85921935	7.154099	5.39474352	5.49439793	4.96362042	8.05476216	5.04552266	5.54702982	3.60833121	6.82657431	4.77544586	4.33190766	8.52138283	5.37790533	10.61659074	8.45203089	7.77737655	8.91390179	9.79698094
LOC111105616	14.76801323	14.14875596	12.25125223	14.75241717	13.67074452	14.90731768	14.53201794	12.28345632	11.87555321	12.6118953	14.76855487	14.52498386	13.98972308	12.92125498	12.22638293	12.96896097	12.95705499	13.82283447	13.66204264	12.3350415	13.19988001	12.03006317	16.3753384	13.41301568	14.10963431	14.04105962	13.24140034	12.61142786	13.09921589	13.56123074	15.02597486	13.49420802	13.61686966	14.5025965	11.91294614	13.73367756	12.81024586	12.90298751	14.19378375	11.80425481	12.58030033	13.69911751	12.80929609	13.3599767	11.57949174	12.34431703	13.34804765	12.32429224	14.89116636	12.00739974	13.04459289	12.16311644	12.97897518	12.58319304	12.65967374	12.213114	11.86679302	10.90084203	10.33195038	11.48091103	12.08545081
LOC111107755	13.40368107	11.96498265	8.24524393	10.70281075	8.79628521	9.46105874	12.11874404	5.64813659	8.69078152	6.74422483	10.63571868	12.02251743	6.37463239	9.56572722	7.96698413	6.90745814	11.40272565	11.84719666	7.4082689	12.31376754	9.34030013	8.24554829	13.37911994	11.27394354	9.71741801	10.7844089	10.08008168	9.2812796	10.61487756	6.97274868	12.10023185	9.04705174	7.46026772	11.36252073	6.74797877	7.96419648	10.96450122	5.9397755	12.18365505	9.45222248	9.56581748	9.34874536	6.44654122	6.48437883	8.11801378	9.34040053	9.17235819	3.50682545	9.90251146	7.31101354	9.62233855	8.91334993	4.34724399	8.38265753	8.49843109	9.90800347	7.67003521	6.29480752	8.9946889	9.93294984	6.25902412
LOC111108126	7.36725409	5.57715163	6.92022041	8.05461979	7.67330421	6.50478906	7.46345788	9.73046276	9.79764442	5.10129342	8.77919123	5.75930421	4.91502467	8.47999433	9.45254701	6.87210982	6.10959574	7.28828091	5.06630212	9.91861843	7.7652786	4.39453528	6.63981858	7.07588862	5.85400478	8.86068984	6.6778911	9.03935112	7.92821515	5.80465885	7.30634682	6.8840782	7.44872844	10.72561214	9.01579098	9.01244304	7.42488098	6.79600419	5.63514446	9.37536888	8.09883969	4.28359099	3.62140952	8.65741255	6.71344312	10.05787099	8.14665006	1.87254034	6.72343126	10.46222698	7.89613773	10.61728087	9.31702235	10.54578626	9.06637932	9.22892198	11.09804118	10.49493767	9.79418212	9.97791696	9.57063707
LOC111112317	6.35169112	1.32667308	9.15181248	5.05241393	5.6128543	3.1003151	3.19550958	6.42339333	5.94319719	9.73218895	3.85324326	7.21418222	4.1960979	8.25797223	6.93558891	5.8283328	6.75716281	6.12016193	6.28651707	4.14989739	8.37732093	10.0581097	6.86472049	3.03891623	5.10647155	5.57712288	3.92186814	7.4330347	8.4486057	9.47960703	5.44902426	6.16905726	4.60854044	5.62656221	4.50342274	9.27241849	3.90140463	3.48963461	2.5954103	4.45213573	6.37430918	6.58372401	4.62175359	6.75051178	5.94239438	6.3376541	3.46517676	5.56681297	4.55760718	4.12718364	3.17910802	4.68526039	2.74046303	2.85473554	4.99465745	2.25710776	4.13980001	4.39388041	5.41634809	5.14227037	5.19592571
