"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX13037862","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037862_SRR16844801.fastq.gz","","SRR16844801","SRX13037862","SAMN22314578","SRS10975387","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L5_CRAsuyNERAAPEI-6_1.fq.gz","S786","GD_3d","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S786","Illumina NovaSeq 6000","ILLUMINA","842957976","17203224","29159","Magallana gigas","Transcriptomic sample from Crassostrea gigas","Illumina NovaSeq 6000 sequencing: RNA-Seq of Cg_D3d","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea gigas","b780024f5a740ee312bb22fce0ca2408","776631726","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/001/SRR16844801/SRR16844801.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/001/SRR16844801/SRR16844801.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/001/SRR16844801/SRR16844801.fastq.gz"
"SRX13037863","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037863_SRR16844800.fastq.gz","","SRR16844800","SRX13037863","SAMN22314571","SRS10975388","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L5_CRAsuyNDRAAPEI-5_1.fq.gz","S787","GD_24h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S787","Illumina NovaSeq 6000","ILLUMINA","748383027","15273123","29159","Magallana gigas","Transcriptomic sample from Crassostrea gigas","Illumina NovaSeq 6000 sequencing: RNA-Seq of Cg_D24h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea gigas","0f7f608e1d3c2a32fc66cb26c55ed889","687039895","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/000/SRR16844800/SRR16844800.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/000/SRR16844800/SRR16844800.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/000/SRR16844800/SRR16844800.fastq.gz"
"SRX13037864","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037864_SRR16844799.fastq.gz","","SRR16844799","SRX13037864","SAMN22314570","SRS10975389","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L5_CRAsuyNCRAAPEI-3_1.fq.gz","S788","GC_3d","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S788","Illumina NovaSeq 6000","ILLUMINA","762686813","15565037","29159","Magallana gigas","Transcriptomic sample from Crassostrea gigas","Illumina NovaSeq 6000 sequencing: RNA-Seq of Cg_C3d","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea gigas","4a02e40a0ab74e4fcbd44805f4b3c618","702279182","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/099/SRR16844799/SRR16844799.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/099/SRR16844799/SRR16844799.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/099/SRR16844799/SRR16844799.fastq.gz"
"SRX13037865","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037865_SRR16844798.fastq.gz","","SRR16844798","SRX13037865","SAMN22314569","SRS10975390","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L5_CRAsuyNBRAAPEI-2_1.fq.gz","S789","GC_24h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S789","Illumina NovaSeq 6000","ILLUMINA","835655310","17054190","29159","Magallana gigas","Transcriptomic sample from Crassostrea gigas","Illumina NovaSeq 6000 sequencing: RNA-Seq of Cg_C24h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea gigas","c5e0c6d689d7063ac69ae2701615976d","749631905","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/098/SRR16844798/SRR16844798.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/098/SRR16844798/SRR16844798.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/098/SRR16844798/SRR16844798.fastq.gz"
"SRX13037866","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037866_SRR16844797.fastq.gz","","SRR16844797","SRX13037866","SAMN22314562","SRS10975391","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L5_CRAsuyNARAAPEI-1_1.fq.gz","S790","G_0h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S790","Illumina NovaSeq 6000","ILLUMINA","727065038","14838062","29159","Magallana gigas","Transcriptomic sample from Crassostrea gigas","Illumina NovaSeq 6000 sequencing: RNA-Seq of Cg_0h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea gigas","d41d0ea3f08e4b79196175c8025bc52d","669574589","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/097/SRR16844797/SRR16844797.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/097/SRR16844797/SRR16844797.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/097/SRR16844797/SRR16844797.fastq.gz"
"SRX13037867","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037867_SRR16844796.fastq.gz","","SRR16844796","SRX13037867","SAMN22314561","SRS10975392","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L6_CRAsuyNIRAAPEI-11_1.fq.gz","S791","VD_3d","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S791","Illumina NovaSeq 6000","ILLUMINA","603060297","12307353","6565","Crassostrea virginica","Transcriptomic sample from Crassostrea virginica","Illumina NovaSeq 6000 sequencing: RNA-Seq of Vc_D3d","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea virginica","76789c530d0a64fbedb38d61e1938590","551577668","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/096/SRR16844796/SRR16844796.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/096/SRR16844796/SRR16844796.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/096/SRR16844796/SRR16844796.fastq.gz"
"SRX13037868","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037868_SRR16844795.fastq.gz","","SRR16844795","SRX13037868","SAMN22314560","SRS10975393","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L6_CRAsuyNHRAAPEI-10_1.fq.gz","S792","VD_24h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S792","Illumina NovaSeq 6000","ILLUMINA","823882472","16813928","6565","Crassostrea virginica","Transcriptomic sample from Crassostrea virginica","Illumina NovaSeq 6000 sequencing: RNA-Seq of Vc_D24h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea virginica","acdb07f7eaecd111c69850ed93ed3af6","745915500","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/095/SRR16844795/SRR16844795.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/095/SRR16844795/SRR16844795.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/095/SRR16844795/SRR16844795.fastq.gz"
"SRX13037869","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037869_SRR16844794.fastq.gz","","SRR16844794","SRX13037869","SAMN22314556","SRS10975394","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L6_CRAsuyNGRAAPEI-8_1.fq.gz","S793","VC_3d","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S793","Illumina NovaSeq 6000","ILLUMINA","835844009","17058041","6565","Crassostrea virginica","Transcriptomic sample from Crassostrea virginica","Illumina NovaSeq 6000 sequencing: RNA-Seq of Vc_C3d","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea virginica","b153460119001d6c55fec0e832f06f0d","756527197","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/094/SRR16844794/SRR16844794.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/094/SRR16844794/SRR16844794.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/094/SRR16844794/SRR16844794.fastq.gz"
"SRX13037870","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037870_SRR16844793.fastq.gz","","SRR16844793","SRX13037870","SAMN22314555","SRS10975395","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L6_CRAsuyNFRAAPEI-7_1.fq.gz","S794","VC_24h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S794","Illumina NovaSeq 6000","ILLUMINA","813337623","16598727","6565","Crassostrea virginica","Transcriptomic sample from Crassostrea virginica","Illumina NovaSeq 6000 sequencing: RNA-Seq of Vc_C24h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea virginica","6aff72309f142b65631549e7efdd6600","735868599","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/093/SRR16844793/SRR16844793.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/093/SRR16844793/SRR16844793.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/093/SRR16844793/SRR16844793.fastq.gz"
"SRX13037871","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037871_SRR16844792.fastq.gz","","SRR16844792","SRX13037871","SAMN22314554","SRS10975396","PRJNA778545","SRP344953","SRA1325506","110202_I284_FC8165GABXX_L6_CRAsuyNJRAAPEI-12_1.fq.gz","S795","V_0h","PRJNA778545","SINGLE","Oligo-dT","TRANSCRIPTOMIC","RNA-Seq","S795","Illumina NovaSeq 6000","ILLUMINA","800082486","16328214","6565","Crassostrea virginica","Transcriptomic sample from Crassostrea virginica","Illumina NovaSeq 6000 sequencing: RNA-Seq of Vc_0h","Crassostrea sp. JC-2021 Transcriptome or Gene expression","Transcriptomic sample from Crassostrea virginica","706d3566f13d3938da9af608272015e1","726649814","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/092/SRR16844792/SRR16844792.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/092/SRR16844792/SRR16844792.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR168/092/SRR16844792/SRR16844792.fastq.gz"
