sample,fastq_1,fastq_2,strandedness
SRX9845500,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845500_SRR13430609_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845500_SRR13430609_2.fastq.gz,auto
SRX9845501,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845501_SRR13430608_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845501_SRR13430608_2.fastq.gz,auto
SRX9845502,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845502_SRR13430607_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845502_SRR13430607_2.fastq.gz,auto
SRX9845503,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845503_SRR13430606_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845503_SRR13430606_2.fastq.gz,auto
SRX9845504,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845504_SRR13430605_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845504_SRR13430605_2.fastq.gz,auto
SRX9845505,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845505_SRR13430604_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845505_SRR13430604_2.fastq.gz,auto
SRX9845506,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845506_SRR13430603_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845506_SRR13430603_2.fastq.gz,auto
SRX9845507,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845507_SRR13430602_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845507_SRR13430602_2.fastq.gz,auto
SRX9845508,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845508_SRR13430601_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845508_SRR13430601_2.fastq.gz,auto
SRX9845509,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845509_SRR13430600_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845509_SRR13430600_2.fastq.gz,auto
SRX9845510,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845510_SRR13430599_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845510_SRR13430599_2.fastq.gz,auto
SRX9845511,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845511_SRR13430598_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845511_SRR13430598_2.fastq.gz,auto
SRX9845512,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845512_SRR13430597_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845512_SRR13430597_2.fastq.gz,auto
SRX9845513,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845513_SRR13430596_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845513_SRR13430596_2.fastq.gz,auto
SRX9845514,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845514_SRR13430595_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845514_SRR13430595_2.fastq.gz,auto
SRX9845515,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845515_SRR13430594_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845515_SRR13430594_2.fastq.gz,auto
SRX9845516,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845516_SRR13430593_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845516_SRR13430593_2.fastq.gz,auto
SRX9845517,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845517_SRR13430592_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845517_SRR13430592_2.fastq.gz,auto
SRX9845518,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845518_SRR13430591_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845518_SRR13430591_2.fastq.gz,auto
SRX9845519,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845519_SRR13430590_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845519_SRR13430590_2.fastq.gz,auto
SRX9845520,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845520_SRR13430589_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845520_SRR13430589_2.fastq.gz,auto
SRX9845521,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845521_SRR13430588_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845521_SRR13430588_2.fastq.gz,auto
SRX9845522,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845522_SRR13430587_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845522_SRR13430587_2.fastq.gz,auto
SRX9845523,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845523_SRR13430586_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845523_SRR13430586_2.fastq.gz,auto
SRX9845524,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845524_SRR13430585_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845524_SRR13430585_2.fastq.gz,auto
SRX9845525,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845525_SRR13430584_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845525_SRR13430584_2.fastq.gz,auto
SRX9845526,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845526_SRR13430583_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845526_SRR13430583_2.fastq.gz,auto
SRX9845527,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845527_SRR13430582_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845527_SRR13430582_2.fastq.gz,auto
SRX9845528,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845528_SRR13430581_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845528_SRR13430581_2.fastq.gz,auto
SRX9845529,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845529_SRR13430580_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845529_SRR13430580_2.fastq.gz,auto
SRX9845530,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845530_SRR13430579_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845530_SRR13430579_2.fastq.gz,auto
SRX9845531,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845531_SRR13430578_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845531_SRR13430578_2.fastq.gz,auto
SRX9845532,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845532_SRR13430577_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845532_SRR13430577_2.fastq.gz,auto
SRX9845533,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845533_SRR13430576_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845533_SRR13430576_2.fastq.gz,auto
SRX9845534,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845534_SRR13430575_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845534_SRR13430575_2.fastq.gz,auto
SRX9845535,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845535_SRR13430574_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845535_SRR13430574_2.fastq.gz,auto
SRX9845536,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845536_SRR13430573_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845536_SRR13430573_2.fastq.gz,auto
SRX9845537,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845537_SRR13430572_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX9845537_SRR13430572_2.fastq.gz,auto
