"sample","fastq_1","fastq_2","strandedness"
"SRX13037862","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037862_SRR16844801.fastq.gz","","auto"
"SRX13037863","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037863_SRR16844800.fastq.gz","","auto"
"SRX13037864","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037864_SRR16844799.fastq.gz","","auto"
"SRX13037865","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037865_SRR16844798.fastq.gz","","auto"
"SRX13037866","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037866_SRR16844797.fastq.gz","","auto"
"SRX13037867","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037867_SRR16844796.fastq.gz","","auto"
"SRX13037868","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037868_SRR16844795.fastq.gz","","auto"
"SRX13037869","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037869_SRR16844794.fastq.gz","","auto"
"SRX13037870","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037870_SRR16844793.fastq.gz","","auto"
"SRX13037871","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX13037871_SRR16844792.fastq.gz","","auto"
"SRX18040004","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_2.fastq.gz","auto"
"SRX18040005","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_2.fastq.gz","auto"
"SRX18040006","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_2.fastq.gz","auto"
"SRX18040007","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_2.fastq.gz","auto"
"SRX18040008","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_2.fastq.gz","auto"
"SRX18040009","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_2.fastq.gz","auto"
"SRX18040010","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_2.fastq.gz","auto"
"SRX18040011","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_2.fastq.gz","auto"
"SRX18040012","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_2.fastq.gz","auto"
