sample,fastq_1,fastq_2,strandedness
SRX7655149,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655149_SRR10993931_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655149_SRR10993931_2.fastq.gz,auto
SRX7655150,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655150_SRR10993930_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655150_SRR10993930_2.fastq.gz,auto
SRX7655151,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655151_SRR10993929_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655151_SRR10993929_2.fastq.gz,auto
SRX7655152,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655152_SRR10993928_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655152_SRR10993928_2.fastq.gz,auto
SRX7655153,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655153_SRR10993927_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655153_SRR10993927_2.fastq.gz,auto
SRX7655154,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655154_SRR10993926_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655154_SRR10993926_2.fastq.gz,auto
SRX7655155,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655155_SRR10993925_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655155_SRR10993925_2.fastq.gz,auto
SRX7655156,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655156_SRR10993924_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655156_SRR10993924_2.fastq.gz,auto
SRX7655157,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655157_SRR10993923_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655157_SRR10993923_2.fastq.gz,auto
SRX7655158,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655158_SRR10993922_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655158_SRR10993922_2.fastq.gz,auto
SRX7655159,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655159_SRR10993921_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655159_SRR10993921_2.fastq.gz,auto
SRX7655160,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655160_SRR10993920_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655160_SRR10993920_2.fastq.gz,auto
SRX7655161,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655161_SRR10993919_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655161_SRR10993919_2.fastq.gz,auto
SRX7655162,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655162_SRR10993918_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655162_SRR10993918_2.fastq.gz,auto
SRX7655163,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655163_SRR10993917_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655163_SRR10993917_2.fastq.gz,auto
SRX7655164,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655164_SRR10993916_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655164_SRR10993916_2.fastq.gz,auto
SRX7655165,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655165_SRR10993915_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655165_SRR10993915_2.fastq.gz,auto
SRX7655166,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655166_SRR10993914_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655166_SRR10993914_2.fastq.gz,auto
SRX7655167,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655167_SRR10993913_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655167_SRR10993913_2.fastq.gz,auto
SRX7655168,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655168_SRR10993912_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655168_SRR10993912_2.fastq.gz,auto
SRX7655169,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655169_SRR10993911_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655169_SRR10993911_2.fastq.gz,auto
SRX7655170,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655170_SRR10993910_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655170_SRR10993910_2.fastq.gz,auto
SRX7655171,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655171_SRR10993909_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655171_SRR10993909_2.fastq.gz,auto
SRX7655172,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655172_SRR10993908_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655172_SRR10993908_2.fastq.gz,auto
SRX7655173,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655173_SRR10993907_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655173_SRR10993907_2.fastq.gz,auto
SRX7655174,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655174_SRR10993906_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655174_SRR10993906_2.fastq.gz,auto
SRX7655175,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655175_SRR10993905_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655175_SRR10993905_2.fastq.gz,auto
SRX7655176,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655176_SRR10993904_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655176_SRR10993904_2.fastq.gz,auto
SRX7655177,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655177_SRR10993903_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655177_SRR10993903_2.fastq.gz,auto
SRX7655178,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655178_SRR10993902_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655178_SRR10993902_2.fastq.gz,auto
SRX7655179,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655179_SRR10993901_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655179_SRR10993901_2.fastq.gz,auto
SRX7655180,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655180_SRR10993900_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655180_SRR10993900_2.fastq.gz,auto
SRX7655181,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655181_SRR10993899_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655181_SRR10993899_2.fastq.gz,auto
SRX7655182,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655182_SRR10993898_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655182_SRR10993898_2.fastq.gz,auto
SRX7655183,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655183_SRR10993897_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655183_SRR10993897_2.fastq.gz,auto
SRX7655184,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655184_SRR10993896_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655184_SRR10993896_2.fastq.gz,auto
SRX7655185,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655185_SRR10993895_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655185_SRR10993895_2.fastq.gz,auto
SRX7655186,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655186_SRR10993894_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655186_SRR10993894_2.fastq.gz,auto
SRX7655187,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655187_SRR10993893_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655187_SRR10993893_2.fastq.gz,auto
SRX7655188,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655188_SRR10993892_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7655188_SRR10993892_2.fastq.gz,auto
SRX7656957,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656957_SRR10995912.fastq.gz,,auto
SRX7656958,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656958_SRR10995911.fastq.gz,,auto
SRX7656959,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656959_SRR10995910.fastq.gz,,auto
SRX7656960,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656960_SRR10995909.fastq.gz,,auto
SRX7656961,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656961_SRR10995908.fastq.gz,,auto
SRX7656962,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656962_SRR10995907.fastq.gz,,auto
SRX7656963,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656963_SRR10995906.fastq.gz,,auto
SRX7656964,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656964_SRR10995905.fastq.gz,,auto
SRX7656965,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656965_SRR10995904.fastq.gz,,auto
SRX7656966,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656966_SRR10995903.fastq.gz,,auto
SRX7656967,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656967_SRR10995902.fastq.gz,,auto
SRX7656968,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656968_SRR10995901.fastq.gz,,auto
SRX7656969,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656969_SRR10995900.fastq.gz,,auto
SRX7656970,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656970_SRR10995899.fastq.gz,,auto
SRX7656971,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656971_SRR10995898.fastq.gz,,auto
SRX7656972,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656972_SRR10995897.fastq.gz,,auto
SRX7656973,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656973_SRR10995896.fastq.gz,,auto
SRX7656974,/gscratch/scrubbed/strigg/analyses/20241108_RNAseq/fastq/SRX7656974_SRR10995895.fastq.gz,,auto
