gene_id	gene_name	SRX13037862	SRX13037863	SRX13037864	SRX13037865	SRX13037866	SRX13037867	SRX13037868	SRX13037869	SRX13037870	SRX13037871
LOC111099029	LOC111099029	4861	4861	4861	4861	4861	4861	4861	4861	4861	4861
LOC111099030	LOC111099030	288	288	288	288	288	288	288	288	288	288
LOC111099031	LOC111099031	754	754	754	754	754	754	754	754	754	754
LOC111099032	LOC111099032	1185	1185	1185	1185	1185	1185	1185	1185	1185	1185
LOC111099033	LOC111099033	2408	2408	2408	2408	2408	2408	2408	2408	2408	2408
LOC111099034	LOC111099034	1168	1168	1168	1168	1168	1168	1168	1168	1168	1168
LOC111099035	LOC111099035	1363	1363	1363	1363	1363	1447	1441.42299034358	1447	1410.38735975455	1423.44156145211
LOC111099036	LOC111099036	3300	3361.10194196554	3300	3300	3361.10194196554	3404	3375.61923574188	3404	3404	3404
LOC111099037	LOC111099037	982	982	982	982	982	982	982	982	982	982
LOC111099038	LOC111099038	206	206	206	206	206	206	206	206	206	206
LOC111099039	LOC111099039	1326	1326	1326	1326	1326	1326	1326	1326	1326	1326
LOC111099040	LOC111099040	2114.28499977513	2086.88131895703	2089.98598333119	2072	2072	2155.19779523663	2160.37657766552	2160.09453580118	2163.05287353234	2160.11255501163
LOC111099041	LOC111099041	3618	3648.6863907468	3618	3618	3618	3670.69327084749	3693	3693	3618	3693
LOC111099042	LOC111099042	387.799427493254	387.799427493254	387.799427493254	387.799427493254	387.799427493254	387.799427493254	437.613766577362	367.03612114007	424.121987965076	332
LOC111099043	LOC111099043	4524	4524	4524	4267	4267	4524	4524	4524	4524	4524
LOC111099044	LOC111099044	1599	1599	1599	1599	1599	1599	1599	1599	1599	1599
LOC111099045	LOC111099045	2137.96230980604	2128	2137.96230980604	2137.96230980604	2137.96230980604	2137.58888542578	2145.60405157696	2138.20772622621	2140.99208001584	2137.42028345235
LOC111099046	LOC111099046	1348	1348	1348	1382.22239964557	1382.22239964557	1533	1317.16518551606	1417.3152842159	1332.78979103843	1426.077771956
LOC111099047	LOC111099047	2823.81534347132	2790	2790	2790	2790	2963.16741366873	2960.36757944475	2879.34859471264	2947.15609221102	2960.04505700196
LOC111099048	LOC111099048	505	505	505	505	505	505	505	505	505	505
LOC111099049	LOC111099049	324	324	324	324	324	324	324	324	324	324
LOC111099050	LOC111099050	1957	1957	1957	1957	1957	1957	1957	1957	1957	1957
LOC111099051	LOC111099051	7.236	7.236	7.236	7.236	7.236	7.236	7.236	7.236	7.236	7.236
LOC111099052	LOC111099052	1722	1722	1722	1722	1722	1722	1722	1722	1722	1722
